source_code	source_code_description	length
FB	"Item provided without cost to provider, supplier or practitioner, or full credit received for replaced device (examples, but not limited to, covered under warranty, replaced due to defect, free samples)"	202
FC	Partial credit received for replaced device	43
FP	Service provided as part of family planning program	51
G1	Most recent urr reading of less than 60	39
G2	Most recent urr reading of 60 to 64.9	37
G3	Most recent urr reading of 65 to 69.9	37
G4	Most recent urr reading of 70 to 74.9	37
G5	Most recent urr reading of 75 or greater	40
G6	Esrd patient for whom less than six dialysis sessions have been provided in a month	83
G7	Pregnancy resulted from rape or incest or pregnancy certified by physician as life threatening	94
G8	"Monitored anesthesia care (mac) for deep complex, complicated, or markedly invasive surgical procedure"	102
G9	Monitored anesthesia care for patient who has history of severe cardio-pulmonary condition	90
GA	"Waiver of liability statement issued as required by payer policy, individual case"	81
GB	Claim being re-submitted for payment because it is no longer covered under a global payment demonstration	105
GC	This service has been performed in part by a resident under the direction of a teaching physician	97
GD	Units of service exceeds medically unlikely edit value and represents reasonable and necessary services	103
GE	This service has been performed by a resident without the presence of a teaching physician under the primary care exception	123
GF	"Non-physician (e.g. nurse practitioner (np), certified registered nurse anesthetist (crna), certified registered nurse (crn), clinical nurse specialist (cns), physician assistant (pa)) services in a critical access hospital"	223
GG	"Performance and payment of a screening mammogram and diagnostic mammogram on the same patient, same day"	103
GH	Diagnostic mammogram converted from screening mammogram on same day	67
GJ	"""opt out"" physician or practitioner emergency or urgent service"	63
GK	Reasonable and necessary item/service associated with a ga or gz modifier	73
GL	"Medically unnecessary upgrade provided instead of non-upgraded item, no charge, no advance beneficiary notice (abn)"	115
GM	Multiple patients on one ambulance trip	39
GN	Services delivered under an outpatient speech language pathology plan of care	77
GO	Services delivered under an outpatient occupational therapy plan of care	72
GP	Services delivered under an outpatient physical therapy plan of care	68
GQ	Via asynchronous telecommunications system	42
GR	"This service was performed in whole or in part by a resident in a department of veterans affairs medical center or clinic, supervised in accordance with va policy"	162
GS	Dosage of erythropoietin stimulating agent has been reduced and maintained in response to hematocrit or hemoglobin level	120
GT	Via interactive audio and video telecommunication systems	57
GU	"Waiver of liability statement issued as required by payer policy, routine notice"	80
GV	Attending physician not employed or paid under arrangement by the patient's hospice provider	92
GW	Service not related to the hospice patient's terminal condition	63
GX	"Notice of liability issued, voluntary under payer policy"	56
GY	"Item or service statutorily excluded, does not meet the definition of any medicare benefit or, for non-medicare insurers, is not a contract benefit"	147
GZ	Item or service expected to be denied as not reasonable and necessary	69
H9	Court-ordered	13
HA	Child/adolescent program	24
HB	"Adult program, non geriatric"	28
HC	"Adult program, geriatric"	24
HD	Pregnant/parenting women's program	34
HE	Mental health program	21
HF	Substance abuse program	23
HG	Opioid addiction treatment program	34
HH	Integrated mental health/substance abuse program	48
HI	Integrated mental health and intellectual disability/developmental disabilities program	87
HJ	Employee assistance program	27
HK	Specialized mental health programs for high-risk populations	60
HL	Intern	6
HM	Less than bachelor degree level	31
HN	Bachelors degree level	22
HO	Masters degree level	20
HP	Doctoral level	14
HQ	Group setting	13
HR	Family/couple with client present	33
HS	Family/couple without client present	36
HT	Multi-disciplinary team	23
HU	Funded by child welfare agency	30
HV	Funded state addictions agency	30
HW	Funded by state mental health agency	36
HX	Funded by county/local agency	29
HY	Funded by juvenile justice agency	33
HZ	Funded by criminal justice agency	33
J1	Competitive acquisition program no-pay submission for a prescription number	75
J2	"Competitive acquisition program, restocking of emergency drugs after emergency administration"	93
J3	"Competitive acquisition program (cap), drug not available through cap as written, reimbursed under average sales price methodology"	130
J4	Dmepos item subject to dmepos competitive bidding program that is furnished by a hospital upon discharge	104
JA	Administered intravenously	26
JB	Administered subcutaneously	27
JC	Skin substitute used as a graft	31
JD	Skin substitute not used as a graft	35
JE	Administered via dialysate	26
JW	Drug amount discarded/not administered to any patient	53
K0	Lower extremity prosthesis functional level 0 - does not have the ability or potential to ambulate or transfer safely with or without assistance and a prosthesis does not enhance their quality of life or mobility.	213
K1	Lower extremity prosthesis functional level 1 - has the ability or potential to use a prosthesis for transfers or ambulation on level surfaces at fixed cadence. typical of the limited and unlimited household ambulator.	218
K2	"Lower extremity prosthesis functional level 2 - has the ability or potential for ambulation with the ability to traverse low level environmental barriers such as curbs, stairs or uneven surfaces.  typical of the limited community ambulator."	240
K3	"Lower extremity prosthesis functional level 3 - has the ability or potential for ambulation with variable cadence.  typical of the community ambulator who has the ability to transverse most environmental barriers and may have vocational, therapeutic, or exercise activity that demands prosthetic utilization beyond simple locomotion."	333
K4	"Lower extremity prosthesis functional level 4 - has the ability or potential for prosthetic ambulation that exceeds the basic ambulation skills, exhibiting high impact, stress, or energy levels, typical of the prosthetic demands of the child, active adult, or athlete."	268
KA	Add on option/accessory for wheelchair	38
KB	"Beneficiary requested upgrade for abn, more than 4 modifiers identified on claim"	80
KC	Replacement of special power wheelchair interface	49
KD	Drug or biological infused through dme	38
KE	Bid under round one of the dmepos competitive bidding program for use with non-competitive bid base equipment	109
KF	Item designated by fda as class iii device	42
KG	Dmepos item subject to dmepos competitive bidding program number 1	66
KH	"Dmepos item, initial claim, purchase or first month rental"	58
KI	"Dmepos item, second or third month rental"	41
KJ	"Dmepos item, parenteral enteral nutrition (pen) pump or capped rental, months four to fifteen"	93
KK	Dmepos item subject to dmepos competitive bidding program number 2	66
KL	Dmepos item delivered via mail	30
KM	Replacement of facial prosthesis including new impression/moulage	65
KN	Replacement of facial prosthesis using previous master model	60
KO	Single drug unit dose formulation	33
KP	First drug of a multiple drug unit dose formulation	51
KQ	Second or subsequent drug of a multiple drug unit dose formulation	66
KR	"Rental item, billing for partial month"	38
KS	Glucose monitor supply for diabetic beneficiary not treated with insulin	72
KT	Beneficiary resides in a competitive bidding area and travels outside that competitive bidding area and receives a competitive bid item	135
KU	Dmepos item subject to dmepos competitive bidding program number 3	66
KV	Dmepos item subject to dmepos competitive bidding program that is furnished as part of a professional service	109
KW	Dmepos item subject to dmepos competitive bidding program number 4	66
KX	Requirements specified in the medical policy have been met	58
KY	Dmepos item subject to dmepos competitive bidding program number 5	66
KZ	New coverage not implemented by managed care	44
LC	Left circumflex coronary artery	31
LD	Left anterior descending coronary artery	40
LL	Lease/rental (use the 'll' modifier when dme equipment rental is to be applied against the purchase price)	106
LM	Left main coronary artery	25
LR	Laboratory round trip	21
LS	Fda-monitored intraocular lens implant	38
LT	Left side (used to identify procedures performed on the left side of the body)	78
M2	Medicare secondary payer (msp)	30
MS	Six month maintenance and servicing fee for reasonable and necessary parts and labor which are not covered under any manufacturer or supplier warranty	150
NB	"Nebulizer system, any type, fda-cleared for use with specific drug"	66
NR	New when rented (use the 'nr' modifier when dme which was new at the time of rental is subsequently purchased)	110
NU	New equipment	13
P1	A normal healthy patient	24
P2	A patient with mild systemic disease	36
P3	A patient with severe systemic disease	38
P4	A patient with severe systemic disease that is a constant threat to life	72
P5	A moribund patient who is not expected to survive without the operation	71
P6	A declared brain-dead patient whose organs are being removed for donor purposes	79
PA	Surgical or other invasive procedure on wrong body part	55
PB	Surgical or other invasive procedure on wrong patient	53
PC	Wrong surgery or other invasive procedure on patient	52
PD	Diagnostic or related non diagnostic item or service provided in a wholly owned or operated entity to a patient who is admitted as an inpatient within 3 days	157
PI	Positron emission tomography (pet) or pet/computed tomography (ct) to inform the initial treatment strategy of tumors that are biopsy proven or strongly suspected of being cancerous based on other diagnostic testing	215
PL	Progressive addition lenses	27
PM	Post mortem	11
PS	Positron emission tomography (pet) or pet/computed tomography (ct) to inform the subsequent treatment strategy of cancerous tumors when the beneficiary's treating physician determines that the pet study is needed to inform subsequent anti-tumor strategy	253
PT	Colorectal cancer screening test; converted to diagnostic test or other procedure	81
Q0	Investigational clinical service provided in a clinical research study that is in an approved clinical research study	117
Q1	Routine clinical service provided in a clinical research study that is in an approved clinical research study	109
Q2	Hcfa/ord demonstration project procedure/service	48
Q3	Live kidney donor surgery and related services	46
Q4	Service for ordering/referring physician qualifies as a service exemption	73
Q5	Service furnished by a substitute physician under a reciprocal billing arrangement	82
Q6	Service furnished by a locum tenens physician	45
Q7	One class a finding	19
Q8	Two class b findings	20
Q9	One class b and two class c findings	36
QC	Single channel monitoring	25
QD	Recording and storage in solid state memory by a digital recorder	65
QE	Prescribed amount of oxygen is less than 1 liter per minute (lpm)	65
QF	Prescribed amount of oxygen exceeds 4 liters per minute (lpm) and portable oxygen is prescribed	95
QG	Prescribed amount of oxygen is greater than 4 liters per minute(lpm)	68
QH	Oxygen conserving device is being used with an oxygen delivery system	69
QJ	"Services/items provided to a prisoner or patient in state or local custody, however the state or local government, as applicable, meets the requirements in 42 cfr 411.4 (b)"	172
QK	"Medical direction of two, three, or four concurrent anesthesia procedures involving qualified individuals"	105
QL	Patient pronounced dead after ambulance called	46
QM	Ambulance service provided under arrangement by a provider of services	70
QN	Ambulance service furnished directly by a provider of services	62
QP	"Documentation is on file showing that the laboratory test(s) was ordered individually or ordered as a cpt-recognized panel other than automated profile codes 80002-80019, g0058, g0059, and g0060."	195
QS	Monitored anesthesia care service	33
QT	Recording and storage on tape by an analog tape recorder	56
QW	Clia waived test	16
QX	Crna service: with medical direction by a physician	51
QY	Medical direction of one certified registered nurse anesthetist (crna) by an anesthesiologist	93
QZ	Crna service: without medical direction by a physician	54
RA	"Replacement of a dme, orthotic or prosthetic item"	49
RB	"Replacement of a part of a dme, orthotic or prosthetic item furnished as part of a repair"	89
RC	Right coronary artery	21
RD	"Drug provided to beneficiary, but not administered ""incident-to"""	64
RE	Furnished in full compliance with fda-mandated risk evaluation and mitigation strategy (rems)	93
RI	Ramus intermedius coronary artery	33
RR	Rental (use the 'rr' modifier when dme is to be rented)	55
RT	Right side (used to identify procedures performed on the right side of the body)	80
SA	Nurse practitioner rendering service in collaboration with a physician	70
SB	Nurse midwife	13
SC	Medically necessary service or supply	37
SD	"Services provided by registered nurse with specialized, highly technical home infusion training"	95
SE	State and/or federally-funded programs/services	47
SF	"Second opinion ordered by a professional review organization (pro) per section 9401, p.l. 99-272 (100% reimbursement - no medicare deductible or coinsurance)"	157
SG	Ambulatory surgical center (asc) facility service	49
SH	Second concurrently administered infusion therapy	49
SJ	Third or more concurrently administered infusion therapy	56
SK	Member of high risk population (use only with codes for immunization)	69
SL	State supplied vaccine	22
SM	Second surgical opinion	23
SN	Third surgical opinion	22
SQ	Item ordered by home health	27
SS	Home infusion services provided in the infusion suite of the iv therapy provider	80
ST	Related to trauma or injury	27
SU	Procedure performed in physician's office (to denote use of facility and equipment)	83
SV	Pharmaceuticals delivered to patient's home but not utilized	60
SW	Services provided by a certified diabetic educator	50
SY	Persons who are in close contact with member of high-risk population (use only with codes for immunization)	107
T1	"Left foot, second digit"	23
T2	"Left foot, third digit"	22
T3	"Left foot, fourth digit"	23
T4	"Left foot, fifth digit"	22
T5	"Right foot, great toe"	21
T6	"Right foot, second digit"	24
T7	"Right foot, third digit"	23
T8	"Right foot, fourth digit"	24
T9	"Right foot, fifth digit"	23
TA	"Left foot, great toe"	20
TC	"Technical component; under certain circumstances, a charge may be made for the technical component alone;  under those circumstances the technical component charge is identified by adding modifier 'tc' to the usual procedure number; technical component charges are institutional charges and not billed separately by physicians; however, portable x-ray suppliers only bill for technical component and should utilize modifier tc; the charge data from portable x-ray suppliers will then be used to build customary and prevailing profiles"	534
TD	Rn	2
TE	Lpn/lvn	7
TF	Intermediate level of care	26
TG	Complex/high tech level of care	31
TH	"Obstetrical treatment/services, prenatal or postpartum"	54
TJ	"Program group, child and/or adolescent"	38
TK	"Extra patient or passenger, non-ambulance"	41
TL	Early intervention/individualized family service plan (ifsp)	60
TM	Individualized education program (iep)	38
TN	Rural/outside providers' customary service area	47
TP	"Medical transport, unloaded vehicle"	35
TQ	Basic life support transport by a volunteer ambulance provider	62
TR	School-based individualized education program (iep) services provided outside the public school district responsible for the student	132
TS	Follow-up service	17
TT	Individualized service provided to more than one patient in same setting	72
TU	"Special payment rate, overtime"	30
TV	"Special payment rates, holidays/weekends"	40
TW	Back-up equipment	17
U1	"Medicaid level of care 1, as defined by each state"	50
U2	"Medicaid level of care 2, as defined by each state"	50
U3	"Medicaid level of care 3, as defined by each state"	50
U4	"Medicaid level of care 4, as defined by each state"	50
U5	"Medicaid level of care 5, as defined by each state"	50
U6	"Medicaid level of care 6, as defined by each state"	50
U7	"Medicaid level of care 7, as defined by each state"	50
U8	"Medicaid level of care 8, as defined by each state"	50
U9	"Medicaid level of care 9, as defined by each state"	50
UA	"Medicaid level of care 10, as defined by each state"	51
UB	"Medicaid level of care 11, as defined by each state"	51
UC	"Medicaid level of care 12, as defined by each state"	51
UD	"Medicaid level of care 13, as defined by each state"	51
UE	Used durable medical equipment	30
UF	Services provided in the morning	32
UG	Services provided in the afternoon	34
UH	Services provided in the evening	32
UJ	Services provided at night	26
UK	Services provided on behalf of the client to someone other than the client (collateral relationship)	100
UN	Two patients served	19
UP	Three patients served	21
UQ	Four patients served	20
UR	Five patients served	20
US	Six or more patients served	27
V5	Vascular catheter (alone or with any other vascular access)	59
V6	Arteriovenous graft (or other vascular access not including a vascular catheter)	80
V7	Arteriovenous fistula only (in use with two needles)	52
V8	Infection present	17
V9	No infection present	20
VP	Aphakic patient	15
A0021	"Ambulance service, outside state per mile, transport (medicaid only)"	68
A0080	"Non-emergency transportation, per mile - vehicle provided by volunteer (individual or organization), with no vested interest"	124
A0090	"Non-emergency transportation, per mile - vehicle provided by individual (family member, self, neighbor) with vested interest"	124
A0100	Non-emergency transportation; taxi	34
A0110	"Non-emergency transportation and bus, intra or inter state carrier"	66
A0120	"Non-emergency transportation: mini-bus, mountain area transports, or other  transportation systems"	98
A0130	Non-emergency transportation: wheel-chair van	45
A0140	Non-emergency transportation and air travel (private or commercial) intra or inter state	88
A0160	Non-emergency transportation: per mile - case worker or social worker	69
A0170	"Transportation ancillary:  parking fees, tolls, other"	53
A0180	Non-emergency transportation: ancillary:  lodging-recipient	59
A0190	Non-emergency transportation: ancillary:  meals-recipient	57
A0200	Non-emergency transportation: ancillary:  lodging escort	56
A0210	Non-emergency transportation: ancillary:  meals-escort	54
A0225	"Ambulance service, neonatal transport, base rate, emergency transport, one way"	78
A0380	Bls mileage (per mile)	22
A0382	Bls routine disposable supplies	31
A0384	Bls specialized service disposable supplies; defibrillation (used by als ambulances and bls ambulances in jurisdictions where defibrillation is permitted in bls ambulances)	172
A0390	Als mileage (per mile)	22
A0392	Als specialized service disposable supplies; defibrillation (to be used only in jurisdictions where defibrillation cannot be performed in bls ambulances)	153
A0394	Als specialized service disposable supplies; iv drug therapy	60
A0396	Als specialized service disposable supplies; esophageal intubation	66
A0398	Als routine disposable supplies	31
A0420	"Ambulance waiting time (als or bls), one half (1/2) hour increments"	67
A0422	"Ambulance (als or bls) oxygen and oxygen supplies, life sustaining situation"	76
A0424	"Extra ambulance attendant, ground (als or bls) or air (fixed or rotary winged); (requires medical review)"	105
A0425	"Ground mileage, per statute mile"	32
A0426	"Ambulance service, advanced life support, non-emergency transport, level 1 (als 1)"	82
A0427	"Ambulance service, advanced life support, emergency transport, level 1 (als1-emergency)"	87
A0428	"Ambulance service, basic life support, non-emergency transport, (bls)"	69
A0429	"Ambulance service, basic life support, emergency transport (bls-emergency)"	74
A0430	"Ambulance service, conventional air services, transport, one way (fixed wing)"	77
A0431	"Ambulance service, conventional air services, transport, one way (rotary wing)"	78
A0432	"Paramedic intercept (pi), rural area, transport furnished by a volunteer ambulance company which is prohibited by state law from billing third party payers"	155
A0433	"Advanced life support, level 2 (als 2)"	38
A0434	Specialty care transport (sct)	30
A0435	"Fixed wing air mileage, per statute mile"	40
A0436	"Rotary wing air mileage, per statute mile"	41
A0888	"Noncovered ambulance mileage, per mile (e.g., for miles traveled beyond closest appropriate facility)"	101
A0998	"Ambulance response and treatment, no transport"	46
A0999	Unlisted ambulance service	26
A4206	"Syringe with needle, sterile, 1 cc or less, each"	48
A4207	"Syringe with needle, sterile 2cc, each"	38
A4208	"Syringe with needle, sterile 3cc, each"	38
A4209	"Syringe with needle, sterile 5cc or greater, each"	49
A4210	"Needle-free injection device, each"	34
A4211	Supplies for self-administered injections	41
A4212	Non-coring needle or stylet with or without catheter	52
A4213	"Syringe, sterile, 20 cc or greater, each"	40
A4215	"Needle, sterile, any size, each"	31
A4216	"Sterile water, saline and/or dextrose, diluent/flush, 10 ml"	59
A4217	"Sterile water/saline, 500 ml"	28
A4218	"Sterile saline or water, metered dose dispenser, 10 ml"	54
A4220	Refill kit for implantable infusion pump	40
A4221	"Supplies for maintenance of drug infusion catheter, per week (list drug separately)"	83
A4222	"Infusion supplies for external drug infusion pump, per cassette or bag (list drugs separately)"	94
A4223	"Infusion supplies not used with external infusion pump, per cassette or bag (list drugs separately)"	99
A4230	"Infusion set for external insulin pump, non needle cannula type"	63
A4231	"Infusion set for external insulin pump, needle type"	51
A4232	"Syringe with needle for external insulin pump, sterile, 3cc"	59
A4233	"Replacement battery, alkaline (other than j cell), for use with medically necessary home blood glucose monitor owned by patient, each"	133
A4234	"Replacement battery, alkaline, j cell, for use with medically necessary home blood glucose monitor owned by patient, each"	121
A4235	"Replacement battery, lithium, for use with medically necessary home blood glucose monitor owned by patient, each"	112
A4236	"Replacement battery, silver oxide, for use with medically necessary home blood glucose monitor owned by patient, each"	117
A4244	"Alcohol or peroxide, per pint"	29
A4245	"Alcohol wipes, per box"	22
A4246	"Betadine or phisohex solution, per pint"	39
A4247	"Betadine or iodine swabs/wipes, per box"	39
A4248	"Chlorhexidine containing antiseptic, 1 ml"	41
A4250	Urine test or reagent strips or tablets (100 tablets or strips)	63
A4252	"Blood ketone test or reagent strip, each"	40
A4253	"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips"	82
A4255	"Platforms for home blood glucose monitor, 50 per box"	52
A4256	"Normal, low and high calibrator solution / chips"	48
A4257	"Replacement lens shield cartridge for use with laser skin piercing device, each"	79
A4258	"Spring-powered device for lancet, each"	38
A4259	"Lancets, per box of 100"	23
A4261	Cervical cap for contraceptive use	34
A4262	"Temporary, absorbable lacrimal duct implant, each"	49
A4263	"Permanent, long term, non-dissolvable lacrimal duct implant, each"	65
A4264	Permanent implantable contraceptive intratubal occlusion device(s) and delivery system	86
A4265	"Paraffin, per pound"	19
A4266	Diaphragm for contraceptive use	31
A4267	"Contraceptive supply, condom, male, each"	40
A4268	"Contraceptive supply, condom, female, each"	42
A4269	"Contraceptive supply, spermicide (e.g., foam, gel), each"	56
A4270	"Disposable endoscope sheath, each"	33
A4280	"Adhesive skin support attachment for use with external breast prosthesis, each"	78
A4281	"Tubing for breast pump, replacement"	35
A4282	"Adapter for breast pump, replacement"	36
A4283	"Cap for breast pump bottle, replacement"	39
A4284	"Breast shield and splash protector for use with breast pump, replacement"	72
A4285	"Polycarbonate bottle for use with breast pump, replacement"	58
A4286	"Locking ring for breast pump, replacement"	41
A4290	"Sacral nerve stimulation test lead, each"	40
A4300	"Implantable access catheter, (e,g., venous, arterial, epidural subarachnoid, or peritoneal, etc.) external access"	113
A4301	"Implantable access total catheter, port/reservoir (e.g., venous, arterial, epidural, subarachnoid, peritoneal, etc.)"	116
A4305	"Disposable drug delivery system, flow rate of 50 ml or greater per hour"	71
A4306	"Disposable drug delivery system, flow rate of less than 50 ml per hour"	70
A4310	Insertion tray without drainage bag and without catheter (accessories only)	75
A4311	"Insertion tray without drainage bag with indwelling catheter, foley type, two-way latex with coating (teflon, silicone, silicone elastomer or hydrophilic, etc.)"	160
A4312	"Insertion tray without drainage bag with indwelling catheter, foley type, two-way, all silicone"	95
A4313	"Insertion tray without drainage bag with indwelling catheter, foley type, three-way, for continuous irrigation"	110
A4314	"Insertion tray with drainage bag with indwelling catheter, foley type, two-way latex with coating (teflon, silicone, silicone elastomer or hydrophilic, etc.)"	157
A4315	"Insertion tray with drainage bag with indwelling catheter, foley type, two-way, all silicone"	92
A4316	"Insertion tray with drainage bag with indwelling catheter, foley type, three-way, for continuous irrigation"	107
A4320	"Irrigation tray with bulb or piston syringe, any purpose"	56
A4321	Therapeutic agent for urinary catheter irrigation	49
A4322	"Irrigation syringe, bulb or piston, each"	40
A4326	"Male external catheter with integral collection chamber,  any type, each"	72
A4327	"Female external urinary collection device; meatal cup, each"	59
A4328	"Female external urinary collection device; pouch, each"	54
A4330	"Perianal fecal collection pouch with adhesive, each"	51
A4331	"Extension drainage tubing, any type, any length, with connector/adaptor, for use with urinary leg bag or urostomy pouch, each"	125
A4332	"Lubricant, individual sterile packet, each"	42
A4333	"Urinary catheter anchoring device, adhesive skin attachment, each"	65
A4334	"Urinary catheter anchoring device, leg strap, each"	50
A4335	Incontinence supply; miscellaneous	34
A4336	"Incontinence supply, urethral insert, any type, each"	52
A4338	"Indwelling catheter; foley type, two-way latex with coating (teflon, silicone, silicone elastomer, or hydrophilic, etc.), each"	126
A4340	"Indwelling catheter; specialty type, eg; coude, mushroom, wing, etc.), each"	75
A4344	"Indwelling catheter, foley type, two-way, all silicone, each"	60
A4346	"Indwelling catheter; foley type, three way for continuous irrigation, each"	74
A4349	"Male external catheter, with or without adhesive, disposable, each"	66
A4351	"Intermittent urinary catheter; straight tip, with or without coating (teflon, silicone, silicone elastomer, or hydrophilic, etc.), each"	135
A4352	"Intermittent urinary catheter; coude (curved) tip, with or without coating (teflon, silicone, silicone elastomeric, or hydrophilic, etc.), each"	143
A4353	"Intermittent urinary catheter, with insertion supplies"	54
A4354	Insertion tray with drainage bag but without catheter	53
A4355	"Irrigation tubing set for continuous bladder irrigation through a three-way indwelling foley catheter, each"	107
A4356	"External urethral clamp or compression device (not to be used for catheter clamp), each"	87
A4357	"Bedside drainage bag, day or night, with or without anti-reflux device, with or without tube, each"	98
A4358	"Urinary drainage bag, leg or abdomen, vinyl, with or without tube, with straps, each"	84
A4360	"Disposable external urethral clamp or compression device, with pad and/or pouch, each"	85
A4361	"Ostomy faceplate, each"	22
A4362	"Skin barrier; solid, 4 x 4 or equivalent; each"	46
A4363	"Ostomy clamp, any type, replacement only, each"	46
A4364	"Adhesive, liquid or equal, any type,  per oz"	44
A4366	"Ostomy vent, any type, each"	27
A4367	"Ostomy belt, each"	17
A4368	"Ostomy filter, any type, each"	29
A4369	"Ostomy skin barrier, liquid (spray, brush, etc), per oz"	55
A4371	"Ostomy skin barrier, powder, per oz"	35
A4372	"Ostomy skin barrier, solid 4x4 or equivalent,  standard wear, with built-in convexity, each"	91
A4373	"Ostomy skin barrier, with flange (solid, flexible or accordian),  with built-in convexity, any size, each"	105
A4375	"Ostomy pouch, drainable, with faceplate attached, plastic, each"	63
A4376	"Ostomy pouch, drainable, with faceplate attached, rubber, each"	62
A4377	"Ostomy pouch, drainable, for use on faceplate, plastic, each"	60
A4378	"Ostomy pouch, drainable, for use on faceplate, rubber, each"	59
A4379	"Ostomy pouch, urinary, with faceplate attached, plastic, each"	61
A4380	"Ostomy pouch, urinary, with faceplate attached, rubber, each"	60
A4381	"Ostomy pouch, urinary, for use on faceplate, plastic, each"	58
A4382	"Ostomy pouch, urinary, for use on faceplate, heavy plastic, each"	64
A4383	"Ostomy pouch, urinary, for use on faceplate, rubber, each"	57
A4384	"Ostomy faceplate equivalent, silicone ring, each"	48
A4385	"Ostomy skin barrier, solid 4x4 or equivalent, extended wear, without built-in convexity, each"	93
A4387	"Ostomy pouch, closed, with barrier attached, with built-in convexity (1 piece), each"	84
