source_code	source_vocabulary_id	source_code_description	Target_concept_code	target_vocabulary_id	mapping_type	primary_map
G8020	5	DIABETIC PATIENT WITH MOST RECENT LOW-DENSITY LIPOPROTEIN (WITHIN THE LAST 12 MONTHS) DOCUMENTED AS LESS THAN 100 MG/DL	73211009	1	CONDITION	Y
G8023	5	DIABETIC PATIENT WITH MOST RECENT BLOOD PRESSURE (WITHIN THE LAST 6 MONTHS) DOCUMENTED AS EQUAL TO OR GREATER THAN 140 SYSTOLIC OR EQUAL TO OR GREATER THAN 80 MMHG DIASTOLIC	73211009	1	CONDITION	Y
G8024	5	DIABETIC PATIENT WITH MOST RECENT BLOOD PRESSURE (WITHIN THE LAST 6 MONTHS) DOCUMENTED AS LESS THAN 140 SYSTOLIC AND LESS THAN 80 DIASTOLIC	73211009	1	CONDITION	Y
G8027	5	HEART FAILURE PATIENT WITH LEFT VENTRICULAR SYSTOLIC DYSFUNCTION (LVSD) DOCUMENTED TO BE ON EITHER ANGIOTENSIN-CONVERTING ENZYME INHIBITOR OR ANGIOTENSIN-RECEPTOR BLOCKER (ACE-I OR ARB) THERAPY	134401001	1	CONDITION	Y
G8028	5	HEART FAILURE PATIENT WITH LEFT VENTRICULAR SYSTOLIC DYSFUNCTION (LVSD) NOT DOCUMENTED TO BE ON EITHER ANGIOTENSIN-CONVERTING ENZYME INHIBITOR OR ANGIOTENSIN-RECEPTOR BLOCKER (ACE-I OR ARB) THERAPY	134401001	1	CONDITION	Y
G8030	5	HEART FAILURE PATIENT WITH LEFT VENTRICULAR SYSTOLIC DYSFUNCTION (LVSD) DOCUMENTED TO BE ON BETA-BLOCKER THERAPY	134401001	1	CONDITION	Y
G8031	5	HEART FAILURE PATIENT WITH LEFT VENTRICULAR SYSTOLIC DYSFUNCTION (LVSD) NOT DOCUMENTED TO BE ON BETA-BLOCKER THERAPY	134401001	1	CONDITION	Y
G8036	5	CORONARY ARTERY DISEASE PATIENT DOCUMENTED TO BE ON ANTIPLATELET THERAPY	53741008	1	CONDITION	Y
G8037	5	CORONARY ARTERY DISEASE PATIENT NOT DOCUMENTED TO BE ON ANTIPLATELET THERAPY	53741008	1	CONDITION	Y
G8039	5	CORONARY ARTERY DISEASE - PATIENT WITH LOW-DENSITY LIPOPROTEIN DOCUMENTED TO BE GREATER THAN 100MG/DL	53741008	1	CONDITION	Y
G8040	5	CORONARY ARTERY DISEASE - PATIENT WITH LOW-DENSITY LIPOPROTEIN DOCUMENTED TO BE LESS THAN OR EQUAL TO 100MG/DL	53741008	1	CONDITION	Y
G8075	5	END STAGE RENAL DISEASE PATIENT WITH DOCUMENTED DIALYSIS DOSE OF URR GREATER THAN OR EQUAL TO 65% (OR KT/V GREATER THAN OR EQUAL TO 1.2)	46177005	1	CONDITION	Y
G8076	5	END STAGE RENAL DISEASE PATIENT WITH DOCUMENTED DIALYSIS DOSE OF URR LESS THAN 65% (OR KT/V LESS THAN 1.2)	46177005	1	CONDITION	Y
G8078	5	END STAGE RENAL DISEASE PATIENT WITH DOCUMENTED HEMATOCRIT GREATER THAN OR EQUAL TO 33 (OR HEMOGLOBIN GREATER THAN OR EQUAL TO 11)	46177005	1	CONDITION	Y
G8079	5	END STAGE RENAL DISEASE PATIENT WITH DOCUMENTED HEMATOCRIT LESS THAN 33 (OR HEMOGLOBIN LESS THAN 11)	46177005	1	CONDITION	Y
G8081	5	END STAGE RENAL DISEASE PATIENT REQUIRING HEMODIALYSIS VASCULAR ACCESS DOCUMENTED TO HAVE RECEIVED AUTOGENOUS AV FISTULA	46177005	1	CONDITION	Y
G8082	5	END STAGE RENAL DISEASE PATIENT REQUIRING HEMODIALYSIS DOCUMENTED TO HAVE RECEIVED VASCULAR ACCESS OTHER THAN AUTOGENOUS AV FISTULA	46177005	1	CONDITION	Y
G8085	5	END-STAGE RENAL DISEASE PATIENT REQUIRING HEMODIALYSIS VASCULAR ACCESS WAS NOT AN ELIGIBLE CANDIDATE FOR AUTOGENOUS AV FISTULA	46177005	1	CONDITION	Y
G8093	5	"NEWLY DIAGNOSED CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD) PATIENT DOCUMENTED TO HAVE RECEIVED SMOKING CESSATION INTERVENTION, WITHIN 3 MONTHS OF DIAGNOSIS"	13645005	1	CONDITION	Y
G8094	5	"NEWLY DIAGNOSED CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD) PATIENT NOT DOCUMENTED TO HAVE RECEIVED SMOKING CESSATION INTERVENTION, WITHIN 3 MONTHS OF DIAGNOSIS"	13645005	1	CONDITION	Y
G8103	5	NEWLY DIAGNOSED OSTEOPOROSIS PATIENTS DOCUMENTED TO HAVE BEEN TREATED WITH ANTIRESORPTIVE THERAPY AND/OR PTH WITHIN 3 MONTHS OF DIAGNOSIS	64859006	1	CONDITION	Y
G8183	5	PATIENT WITH HEART FAILURE AND ATRIAL FIBRILLATION DOCUMENTED TO BE ON WARFARIN THERAPY	49436004	1	CONDITION	Y
G8185	5	PATIENTS DIAGNOSED WITH SYMPTOMATIC OSTEOARTHRITIS WITH DOCUMENTED ANNUAL ASSESSMENT OF FUNCTION AND PAIN	396275006	1	CONDITION	Y
G8240	5	"INTERNAL CAROTID STENOSIS PATIENT IN THE 30-99% RANGE, AND NO DOCUMENTATION OF REFERENCE TO MEASUREMENTS OF DISTAL INTERNAL CAROTID DIAMETER AS THE DENOMINATOR FOR STENOSIS MEASUREMENT"	233964008	1	CONDITION	Y
G8293	5	COPD PATIENT WITHOUT SPIROMETRY RESULTS DOCUMENTED	13645005	1	CONDITION	Y
G8296	5	COPD PATIENT NOT DOCUMENTED TO HAVE INHALED BRONCHODILATOR THERAPY PRESCRIBED	13645005	1	CONDITION	Y
G8306	5	PRIMARY OPEN-ANGLE GLAUCOMA PATIENT WITH INTRAOCULAR PRESSURE ABOVE THE TARGET RANGE GOAL DOCUMENTED TO HAVE RECEIVED PLAN OF CARE	77075001	1	CONDITION	Y
G8308	5	"PRIMARY OPEN-ANGLE GLAUCOMA PATIENT WITH INTRAOCULAR PRESSURE ABOVE THE TARGET RANGE GOAL, AND NOT DOCUMENTED TO HAVE RECEIVED PLAN OF CARE DURING THE REPORTING YEAR"	77075001	1	CONDITION	Y
G8375	5	CHRONIC LYMPHOCYTIC LEUKEMIA (CLL) PATIENT WITH NO DOCUMENTATION OF BASELINE FLOW CYTOMETRY PERFORMED	51092000	1	CONDITION	Y
G8380	5	"FOR PATIENTS WITH ER OR PR POSITIVE, STAGE IC-III BREAST CANCER, CLINICIAN DID NOT DOCUMENT THAT THE PATIENT RECEIVED OR WAS PRESCRIBED TAMOXIFEN OR AROMATASE INHIBITOR"	254837009	1	CONDITION	Y
G8381	5	"FOR PATIENTS WITH ER OR PR POSITIVE, STAGE IC-III BREAST CANCER, CLINICIAN DOCUMENTED OR PRESCRIBED THAT THE PATIENT IS RECEIVING TAMOXIFEN OR AROMATASE INHIBITOR"	254837009	1	CONDITION	Y
G8382	5	MULTIPLE MYELOMA PATIENTS WITH NO DOCUMENTATION OF PRESCRIBED OR RECEIVED INTRAVENOUS BISPHOSPHONATE THERAPY	109989006	1	CONDITION	Y
G8385	5	DIABETIC PATIENTS WITH NO DOCUMENTATION OF HEMOGLOBIN A1C LEVEL (WITHIN THE LAST 12 MONTHS)	73211009	1	CONDITION	Y
G8386	5	DIABETIC PATIENTS WITH NO DOCUMENTATION OF LOW-DENSITY LIPOPROTEIN (WITHIN THE LAST 12 MONTHS)	73211009	1	CONDITION	Y
G8387	5	END-STAGE RENAL DISEASE PATIENT WITH A HEMATOCRIT OR HEMOGLOBIN NOT DOCUMENTED	46177005	1	CONDITION	Y
G8388	5	"END-STAGE RENAL DISEASE PATIENT WITH URR OR KT/V VALUE NOT DOCUMENTED, BUT OTHERWISE ELIGIBLE FOR MEASURE"	46177005	1	CONDITION	Y
G8389	5	MYELODYSPLASTIC SYNDROME (MDS) PATIENTS WITH NO DOCUMENTATION OF IRON STORES PRIOR TO RECEIVING ERYTHROPOIETIN THERAPY	109995007	1	CONDITION	Y
G8390	5	DIABETIC PATIENTS WITH NO DOCUMENTATION OF BLOOD PRESSURE MEASUREMENT (WITHIN THE LAST 12 MONTHS)	73211009	1	CONDITION	Y
G8391	5	"PATIENTS WITH PERSISTENT ASTHMA, NO DOCUMENTATION OF PREFERRED LONG TERM CONTROL MEDICATION OR ACCEPTABLE ALTERNATIVE TREATMENT PRESCRIBED"	195967001	1	CONDITION	Y
G8467	5	DOCUMENTATION OF NEW DIAGNOSIS OF INITIAL OR RECURRENT EPISODE OF MAJOR DEPRESSIVE DISORDER	370143000	1	CONDITION	Y
G8565	5	VERIFICATION AND DOCUMENTATION OF SUDDEN OR RAPIDLY PROGRESSIVE HEARING LOSS	79471008	1	CONDITION	Y
G8575	5	DEVELOPED POSTOPERATIVE RENAL INSUFFICIENCY OR REQUIRED DIALYSIS	42399005	1	CONDITION	Y
G8771	5	DOCUMENTATION OF DIAGNOSIS OF CHRONIC KIDNEY DISEASE	236425005	1	CONDITION	Y
G8821	5	ABDOMINAL AORTIC ANEURYSM IS NOT INFARENAL	233985008	1	CONDITION	Y
G8822	5	MALE PATIENTS WITH ANEURYSMS MINOR DIAMETER >6 CM	85659009	1	CONDITION	Y
G8823	5	FEMALE PATIENTS WITH ANEURYSM MINOR DIAMETER >6CM	85659009	1	CONDITION	Y
G8824	5	FEMALE PATIENTS WITH ANEURYSM MINOR DIAMETER 5.6-6.0 CM	85659009	1	CONDITION	Y
G8846	5	MODERATE OR SEVERE OBSTRUCTIVE SLEEP APNEA (APNEA HYPOPNEA INDEX (AHI) OR RESPIRATORY DISTURBANCE INDEX (RDI) OF 15 OR GREATER)	78275009	1	CONDITION	Y
G8848	5	MILD OBSTRUCTIVE SLEEP APNEA (APNEA HYPOPNEA INDEX (AHI) OR RESPIRATORY DISTURBANCE INDEX (RDI) OF LESS THAN 15)	78275009	1	CONDITION	Y
G8879	5	CLINICALLY NODE NEGATIVE (T1N0M0) OR T2N0M0) INVASIVE BREAST CANCER	254837009	1	CONDITION	Y
G8947	5	One or more neuropsychiatric symptoms	74732009	1	CONDITION	Y
G9013	5	ESRD DEMO BASIC BUNDLE LEVEL I	46177005	1	CONDITION	Y
G9053	5	Onc expectant management pt	86049000	1	CONDITION	Y
G9059	5	Onc prac mgmt pt opt alterna	86049000	1	CONDITION	Y
G9063	5	"Oncology; disease status; limited to non-small cell lung cancer; extent of disease initially established as stage i (prior to neo-adjuvant therapy, if any) with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"	424132000	1	CONDITION	Y
G9064	5	"Oncology; disease status; limited to non-small cell lung cancer; extent of disease initially established as stage ii (prior to neo-adjuvant therapy, if any) with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"	425048006	1	CONDITION	Y
G9065	5	"Oncology; disease status; limited to non-small cell lung cancer; extent of disease initially established as stage iii a (prior to neo-adjuvant therapy, if any) with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"	422968005	1	CONDITION	Y
G9066	5	"Oncology; disease status; limited to non-small cell lung cancer; stage iii b- iv at diagnosis, metastatic, locally recurrent, or progressive (for use in a medicare-approved demonstration project)"	423121009	1	CONDITION	Y
G9067	5	"Oncology; disease status; limited to non-small cell lung cancer; extent of disease unknown, staging in progress, or not listed (for use in a medicare-approved demonstration project)"	254637007	1	CONDITION	Y
G9068	5	"Oncology; disease status; limited to small cell and combined small cell/non-small cell; extent of disease initially established as limited with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"	448993007	1	CONDITION	Y
G9069	5	"Oncology; disease status; small cell lung cancer, limited to small cell and combined small cell/non-small cell; extensive stage at diagnosis, metastatic, locally recurrent, or progressive (for use in a medicare-approved demonstration project)"	254632001	1	CONDITION	Y
G9070	5	"Oncology; disease status; small cell lung cancer, limited to small cell and combined small cell/non-small; extent of disease unknown, staging in progress, or not listed (for use in a medicare-approved demonstration project)"	254632001	1	CONDITION	Y
G9071	5	"Oncology; disease status; invasive female breast cancer (does not include ductal carcinoma in situ); adenocarcinoma as predominant cell type; stage i or stage iia-iib; or t3, n1, m0; and er and/or pr positive; with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"	254837009	1	CONDITION	Y
G9072	5	"Oncology; disease status; invasive female breast cancer (does not include ductal carcinoma in situ); adenocarcinoma as predominant cell type; stage i, or stage iia-iib; or t3, n1, m0; and er and pr negative; with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"	254837009	1	CONDITION	Y
G9073	5	"Oncology; disease status; invasive female breast cancer (does not include ductal carcinoma in situ); adenocarcinoma as predominant cell type; stage iiia-iiib; and not t3, n1, m0; and er and/or pr positive; with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"	444712000	1	CONDITION	Y
G9074	5	"Oncology; disease status; invasive female breast cancer (does not include ductal carcinoma in situ); adenocarcinoma as predominant cell type; stage iiia-iiib; and not t3, n1, m0; and er and pr negative; with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"	444712000	1	CONDITION	Y
G9075	5	"Oncology; disease status; invasive female breast cancer (does not include ductal carcinoma in situ); adenocarcinoma as predominant cell type; m1 at diagnosis, metastatic, locally recurrent, or progressive (for use in a medicare-approved demonstration project)"	444712000	1	CONDITION	Y
G9077	5	"Oncology; disease status; prostate cancer, limited to adenocarcinoma as predominant cell type; t1-t2c and gleason 2-7 and psa < or equal to 20 at diagnosis with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"	399490008	1	CONDITION	Y
G9078	5	"Oncology; disease status; prostate cancer, limited to adenocarcinoma as predominant cell type; t2 or t3a gleason 8-10 or psa > 20 at diagnosis with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"	399490008	1	CONDITION	Y
G9079	5	"Oncology; disease status; prostate cancer, limited to adenocarcinoma as predominant cell type; t3b-t4, any n; any t, n1 at diagnosis with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"	399490008	1	CONDITION	Y
G9080	5	"Oncology; disease status; prostate cancer, limited to adenocarcinoma; after initial treatment with rising psa or failure of psa decline (for use in a medicare-approved demonstration project)"	399490008	1	CONDITION	Y
G9083	5	"Oncology; disease status; prostate cancer, limited to adenocarcinoma; extent of disease unknown, staging in progress, or not listed (for use in a medicare-approved demonstration project)"	399490008	1	CONDITION	Y
G9084	5	"Oncology; disease status; colon cancer, limited to invasive cancer, adenocarcinoma as predominant cell type; extent of disease initially established as t1-3, n0, m0 with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"	1701000119104	1	CONDITION	Y
G9085	5	"Oncology; disease status; colon cancer, limited to invasive cancer, adenocarcinoma as predominant cell type; extent of disease initially established as t4, n0, m0 with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"	1701000119104	1	CONDITION	Y
G9086	5	"Oncology; disease status; colon cancer, limited to invasive cancer, adenocarcinoma as predominant cell type; extent of disease initially established as t1-4, n1-2, m0 with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"	1701000119104	1	CONDITION	Y
G9087	5	"Oncology; disease status; colon cancer, limited to invasive cancer, adenocarcinoma as predominant cell type; m1 at diagnosis, metastatic, locally recurrent, or progressive with current clinical, radiologic, or biochemical evidence of disease (for use in a medicare-approved demonstration project)"	1701000119104	1	CONDITION	Y
G9088	5	"Oncology; disease status; colon cancer, limited to invasive cancer, adenocarcinoma as predominant cell type; m1 at diagnosis, metastatic, locally recurrent, or progressive without current clinical, radiologic, or biochemical evidence of disease (for use in a medicare-approved demonstration project)"	1701000119104	1	CONDITION	Y
G9089	5	"Oncology; disease status; colon cancer, limited to invasive cancer, adenocarcinoma as predominant cell type; extent of disease unknown, staging in progress, or not listed (for use in a medicare-approved demonstration project)"	1701000119104	1	CONDITION	Y
G9090	5	"Oncology; disease status; rectal cancer, limited to invasive cancer, adenocarcinoma as predominant cell type; extent of disease initially established as t1-2, n0, m0 (prior to neo-adjuvant therapy, if any) with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"	254582000	1	CONDITION	Y
G9091	5	"Oncology; disease status; rectal cancer, limited to invasive cancer, adenocarcinoma as predominant cell type; extent of disease initially established as t3, n0, m0 (prior to neo-adjuvant therapy, if any) with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"	254582000	1	CONDITION	Y
G9092	5	"Oncology; disease status; rectal cancer, limited to invasive cancer, adenocarcinoma as predominant cell type; extent of disease initially established as t1-3, n1-2, m0 (prior to neo-adjuvant therapy, if any) with no evidence of disease progression, recurrence or metastases (for use in a medicare-approved demonstration project)"	254582000	1	CONDITION	Y
G9093	5	"Oncology; disease status; rectal cancer, limited to invasive cancer, adenocarcinoma as predominant cell type; extent of disease initially established as t4, any n, m0 (prior to neo-adjuvant therapy, if any) with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"	254582000	1	CONDITION	Y
G9094	5	"Oncology; disease status; rectal cancer, limited to invasive cancer, adenocarcinoma as predominant cell type; m1 at diagnosis, metastatic, locally recurrent, or progressive (for use in a medicare-approved demonstration project)"	254582000	1	CONDITION	Y
G9095	5	"Oncology; disease status; rectal cancer, limited to invasive cancer, adenocarcinoma as predominant cell type; extent of disease unknown, staging in progress, or not listed (for use in a medicare-approved demonstration project)"	254582000	1	CONDITION	Y
G9096	5	"Oncology; disease status; esophageal cancer, limited to adenocarcinoma or squamous cell carcinoma as predominant cell type; extent of disease initially established as t1-t3, n0-n1 or nx (prior to neo-adjuvant therapy, if any) with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"	372138000	1	CONDITION	Y
G9097	5	"Oncology; disease status; esophageal cancer, limited to adenocarcinoma or squamous  cell carcinoma as predominant cell type; extent of disease initially established as t4, any n, m0 (prior to neo-adjuvant therapy, if any) with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"	372138000	1	CONDITION	Y
G9098	5	"Oncology; disease status; esophageal cancer, limited to adenocarcinoma or squamous cell carcinoma as predominant cell type; m1 at diagnosis, metastatic, locally recurrent, or progressive (for use in a medicare-approved demonstration project)"	372138000	1	CONDITION	Y
G9099	5	"Oncology; disease status; esophageal cancer, limited to adenocarcinoma or squamous cell carcinoma as predominant cell type; extent of disease unknown, staging in progress, or not listed (for use in a medicare-approved demonstration project)"	372138000	1	CONDITION	Y
G9100	5	"Oncology; disease status; gastric cancer, limited to adenocarcinoma as predominant cell type; post r0 resection (with or without neoadjuvant therapy) with no evidence of disease recurrence, progression, or metastases (for use in a medicare-approved demonstration project)"	408647009	1	CONDITION	Y
G9101	5	"Oncology; disease status; gastric cancer, limited to adenocarcinoma as predominant cell type; post r1 or r2 resection (with or without neoadjuvant therapy) with no evidence of disease progression, or metastases (for use in a medicare-approved demonstration project)"	408647009	1	CONDITION	Y
G9102	5	"Oncology; disease status; gastric cancer, limited to adenocarcinoma as predominant cell type; clinical or pathologic m0, unresectable with no evidence of disease progression, or metastases (for use in a medicare-approved demonstration project)"	408647009	1	CONDITION	Y
G9103	5	"Oncology; disease status; gastric cancer, limited to adenocarcinoma as predominant cell type; clinical or pathologic m1 at diagnosis, metastatic, locally recurrent, or progressive (for use in a medicare-approved demonstration project)"	408647009	1	CONDITION	Y
G9104	5	"Oncology; disease status; gastric cancer, limited to adenocarcinoma as predominant cell type; extent of disease unknown, staging in progress, or not listed (for use in a medicare-approved demonstration project)"	408647009	1	CONDITION	Y
G9105	5	"Oncology; disease status; pancreatic cancer, limited to adenocarcinoma as predominant cell type; post r0 resection without evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"	1651000119109	1	CONDITION	Y
G9106	5	"Oncology; disease status; pancreatic cancer, limited to adenocarcinoma; post r1 or r2 resection with no evidence of disease progression, or metastases (for use in a medicare-approved demonstration project)"	1651000119109	1	CONDITION	Y
G9107	5	"Oncology; disease status; pancreatic cancer, limited to adenocarcinoma; unresectable at diagnosis, m1 at diagnosis, metastatic, locally recurrent, or progressive (for use in a medicare-approved demonstration project)"	1651000119109	1	CONDITION	Y
G9108	5	"Oncology; disease status; pancreatic cancer, limited to adenocarcinoma; extent of disease unknown, staging in progress, or not listed (for use in a medicare-approved demonstration project)"	1651000119109	1	CONDITION	Y
G9109	5	"Oncology; disease status; head and neck cancer, limited to cancers of oral cavity, pharynx and larynx with squamous cell as predominant cell type; extent of disease initially established as t1-t2 and n0, m0 (prior to neo-adjuvant therapy, if any) with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"	402815007	1	CONDITION	Y
G9110	5	"Oncology; disease status; head and neck cancer, limited to cancers of oral cavity, pharynx and larynx with squamous cell as predominant cell type; extent of disease initially established as t3-4 and/or n1-3, m0 (prior to neo-adjuvant therapy, if any) with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"	402815007	1	CONDITION	Y
G9111	5	"Oncology; disease status; head and neck cancer, limited to cancers of oral cavity, pharynx and larynx with squamous cell as predominant cell type; m1 at diagnosis, metastatic, locally recurrent, or progressive (for use in a medicare-approved demonstration project)"	402815007	1	CONDITION	Y
G9112	5	"Oncology; disease status; head and neck cancer, limited to cancers of oral cavity, pharynx and larynx with squamous cell as predominant cell type; extent of disease unknown, staging in progress, or not listed (for use in a medicare-approved demonstration project)"	402815007	1	CONDITION	Y
G9113	5	"Oncology; disease status; ovarian cancer, limited to epithelial cancer; pathologic stage ia-b (grade 1) without evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"	237057005	1	CONDITION	Y
G9114	5	"Oncology; disease status; ovarian cancer, limited to epithelial cancer; pathologic stage ia-b (grade 2-3); or stage ic (all grades); or stage ii; without evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"	237057005	1	CONDITION	Y
G9115	5	"Oncology; disease status; ovarian cancer, limited to epithelial cancer; pathologic stage iii-iv; without evidence of progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"	237057005	1	CONDITION	Y
G9116	5	"Oncology; disease status; ovarian cancer, limited to epithelial cancer; evidence of disease progression, or recurrence, and/or platinum resistance (for use in a medicare-approved demonstration project)"	237057005	1	CONDITION	Y
G9117	5	"Oncology; disease status; ovarian cancer, limited to epithelial cancer; extent of disease unknown, staging in progress, or not listed (for use in a medicare-approved demonstration  project)"	237057005	1	CONDITION	Y
G9123	5	"Oncology; disease status; chronic myelogenous leukemia, limited to philadelphia chromosome positive and/or bcr-abl positive; chronic phase not in hematologic, cytogenetic, or molecular remission (for use in a medicare-approved demonstration project)"	63364005	1	CONDITION	Y
G9124	5	"Oncology; disease status; chronic myelogenous leukemia, limited to philadelphia chromosome positive and/or bcr-abl positive; accelerated phase not in hematologic cytogenetic, or molecular remission (for use in a medicare-approved demonstration project)"	63364005	1	CONDITION	Y
G9125	5	"Oncology; disease status; chronic myelogenous leukemia, limited to philadelphia chromosome positive and/or bcr-abl positive; blast phase not in hematologic, cytogenetic, or molecular remission (for use in a medicare-approved demonstration project)"	63364005	1	CONDITION	Y
G9126	5	"Oncology; disease status; chronic myelogenous leukemia, limited to philadelphia chromosome positive and/or bcr-abl positive; in hematologic, cytogenetic, or molecular remission (for use in a medicare-approved demonstration project)"	63364005	1	CONDITION	Y
G9128	5	"Oncology; disease status; limited to multiple myeloma, systemic disease; smoldering, stage i (for use in a medicare-approved demonstration project)"	109989006	1	CONDITION	Y
G9129	5	"Oncology; disease status; limited to multiple myeloma, systemic disease; stage ii or higher (for use in a medicare-approved demonstration project)"	109989006	1	CONDITION	Y
G9130	5	"Oncology; disease status; limited to multiple myeloma, systemic disease; extent of disease unknown, staging in progress, or not listed (for use in a medicare-approved demonstration project)"	109989006	1	CONDITION	Y
G9131	5	"Oncology; disease status; invasive female breast cancer (does not include ductal carcinoma in situ); adenocarcinoma as predominant cell type; extent of disease unknown, staging in progress, or not listed (for use in a medicare-approved demonstration project)"	254837009	1	CONDITION	Y
G9132	5	"Oncology; disease status; prostate cancer, limited to adenocarcinoma; hormone-refractory/androgen-independent (e.g., rising psa on anti-androgen therapy or post-orchiectomy); clinical metastases (for use in a medicare-approved demonstration project)"	399490008	1	CONDITION	Y
G9133	5	"Oncology; disease status; prostate cancer, limited to adenocarcinoma; hormone-responsive; clinical metastases or m1 at diagnosis (for use in a medicare-approved demonstration project)"	399490008	1	CONDITION	Y
G9134	5	"Oncology; disease status; non-hodgkin's lymphoma, any cellular classification; stage i, ii at diagnosis, not relapsed, not refractory (for use in a medicare-approved demonstration project)"	118601006	1	CONDITION	Y
G9135	5	"Oncology; disease status; non-hodgkin's lymphoma, any cellular classification; stage iii, iv, not relapsed, not refractory (for use in a medicare-approved demonstration project)"	118601006	1	CONDITION	Y
G9136	5	"Oncology; disease status; non-hodgkin's lymphoma, transformed from original cellular diagnosis to a second cellular classification (for use in a medicare-approved demonstration project)"	118601006	1	CONDITION	Y
G9137	5	"Oncology; disease status; non-hodgkin's lymphoma, any cellular classification; relapsed/refractory (for use in a medicare-approved demonstration project)"	118601006	1	CONDITION	Y
G9138	5	"Oncology; disease status; non-hodgkin's lymphoma, any cellular classification; diagnostic evaluation, stage not determined, evaluation of possible relapse or non-response to therapy, or not listed (for use in a medicare-approved demonstration project)"	118601006	1	CONDITION	Y
G9139	5	"Oncology; disease status; chronic myelogenous leukemia, limited to philadelphia chromosome positive and/or bcr-abl positive; extent of disease unknown, staging in progress, not listed (for use in a medicare-approved demonstration project)"	63364005	1	CONDITION	Y
QL	5	PATIENT PRONOUNCED DEAD AFTER AMBULANCE CALLED	419620001	1	CONDITION	Y
