relationship_id,relationship_name,is_hierarchical,defines_ancestry,reverse_relationship
202,Subject relationship context of (SNOMED),0,0,68
203,Dose form of (SNOMED),0,0,69
204,Occurs before (SNOMED),0,0,70
205,Associated procedure of (SNOMED),0,0,71
206,Direct procedure site of (SNOMED),0,0,72
207,Indirect procedure site of (SNOMED),0,0,73
208,Procedure device of (SNOMED),0,0,74
209,Procedure morphology of (SNOMED),0,0,75
210,Finding context of (SNOMED),0,0,76
211,Procedure context of (SNOMED),0,0,77
212,Temporal context of (SNOMED),0,0,78
213,Associated with (SNOMED),0,0,79
214,Surgical approach of (SNOMED),0,0,80
215,Device used by (SNOMED),0,0,81
216,Energy used by (SNOMED),0,0,82
217,Substance used by (SNOMED),0,0,83
218,Access device used by (SNOMED),0,0,84
219,Has clinical course of (SNOMED),0,0,85
220,Route of administration of (SNOMED),0,0,86
221,Finding method of (SNOMED),0,0,87
222,Finding informer of (SNOMED),0,0,88
223,Obsolete,0,0,89
224,Obsolete,0,0,90
225,Obsolete,1,0,91
226,SNOMED to ICD9 procedure equivalent (OMOP),0,1,92
227,SNOMED category to CPT-4 (OMOP),1,1,93
228,SNOMED to CPT-4 equivalent (OMOP),0,1,94
229,Obsolete,0,0,101
230,Obsolete,0,0,102
231,Obsolete,0,0,103
232,Obsolete,0,0,104
233,Obsolete,0,0,105
234,Obsolete,0,0,106
235,Obsolete,0,0,121
236,Obsolete,0,0,122
237,Obsolete,0,0,123
238,Obsolete,0,0,124
239,SNOMED to MedDRA equivalent (OMOP),0,0,125
240,Is FDA-approved indication of (FDB),0,1,126
241,Is off-label indication of (FDB),0,1,127
242,Obsolete,0,0,128
243,Is contra-indication of (FDB),0,0,129
244,RxNorm to ETC (FDB),0,0,130
245,RxNorm to ATC (FDB),0,0,131
246,MedDRA contained in SMQ (MedDRA),0,0,132
247,Indication/Contra-indication to SNOMED,0,0,248
248,SNOMED to Indication/Contra-indication,0,0,247
269,Obsolete,0,0,270
270,Obsolete,0,0,269
275,Has therapeutic class (NDF),0,0,276
276,Therapeutic class of (NDF),0,1,275
277,Drug-drug interaction for (NDF),0,0,278
278,Is involved in drug-drug interaction (NDF),0,0,277
279,Has pharmaceutical preparation (NDF),0,0,280
280,Pharmaceutical preparation contained in (NDF),0,1,279
281,Inferred drug class of (OMOP),0,1,282
282,Has inferred drug class (OMOP),0,0,281
283,SNOMED procedure subsumes HCPCS (OMOP),1,1,284
284,HCPCS is a SNOMED procedure (OMOP),1,0,283
285,RxNorm to NDF-RT equivalent by concept_name (OMOP),0,0,286
286,NDF-RT to RxNorm equivalent by concept_name (OMOP),0,1,285
287,ETC to RxNorm equivalent by concept_name (OMOP),0,1,288
288,RxNorm to ETC equivalent by concept_name (OMOP),0,0,287
289,ATC to RxNorm equivalent by concept_name (OMOP),0,1,290
290,RxNorm to ATC equivalent by concept_name (OMOP),0,0,289
291,HOI contains SNOMED (OMOP),1,1,292
292,SNOMED contained in HOI (OMOP),1,0,291
293,DOI contains RxNorm (OMOP),1,1,294
294,RxNorm contained in DOI (OMOP),1,0,293
295,HOI contains MedDRA (OMOP),1,0,296
296,MedDRA contained in HOI (OMOP),1,0,295
297,NUCC to CMS Specialty (CMS),1,1,298
298,CMS Specialty to NUCC (CMS),1,0,297
299,DRG to MS-DRG equivalent (CMS),0,0,300
300,MS-DRG to DRG equivalent (CMS),0,0,299
301,DRG to MDC category (CMS),1,0,302
302,MDC category to DRG (CMS),1,1,301
303,Visit category to Place of Service (OMOP),1,1,304
304,Place of Service to Visit category (OMOP),1,0,303
305,VA Product to NDF-RT (NDF-RT),0,0,306
306,NDF-RT to VA Product (NDF-RT),0,0,305
307,VA Product to RxNorm equivalent (NDF-RT),0,0,308
308,RxNorm to VA Product equivalent (NDF-RT),0,0,307
309,Concept replaced by (RxNorm),0,0,310
310,Concept replaces (RxNorm),0,0,309
311,Concept replaced by (SNOMED),0,0,312
312,Concept replaces (SNOMED),0,0,311
313,Concept replaced by (ICD-9-Procedure),0,0,314
314,Concept replaces (ICD-9-Procedure),0,0,313
315,Has ingredient (Multilex),0,0,316
316,Ingredient of (Multilex),0,1,315
317,RxNorm to Multilex equivalent (OMOP),0,0,318
318,Multilex to RxNorm equivalent (OMOP),0,1,317
319,Multilex ingredient to drug class (OMOP),0,0,320
320,Drug class to Multilex ingredient (OMOP),0,1,319
321,Non-standard to Standard (OMOP),0,0,322
322,Standard to Non-standard (OMOP),0,0,321
323,ICD-9-CM to SNOMED-CT (UMLS),0,0,324
324,SNOMED-CT to ICD-9-CM (UMLS),0,0,323
325,ICD-9-CM to SNOMED-CT include child (OMOP),0,0,326
326,SNOMED-CT to ICD-9-CM include child (OMOP),0,0,325
327,ICD-9-CM to SNOMED-CT exclude child (OMOP),0,0,328
328,SNOMED-CT to ICD-9-CM exclude child (OMOP),0,0,327
329,ICD-9-CM to FDB Indication/Contraindication,0,0,330
330,FDB Indication/Contraindication to ICD-9-CM,0,0,329
331,OXMIS to SNOMED-CT,0,0,332
332,SNOMED-CT to OXMIS,0,0,331
333,CPT-4 to RxNorm,0,0,334
334,RxNorm to CPT-4,0,0,333
335,GPI to RxNorm,0,0,336
336,RxNorm to GPI,0,0,335
337,Multilex to RxNorm,0,0,338
338,RxNorm to Multilex,0,0,337
339,FDB Genseqno to RxNorm,0,0,340
340,RxNorm to FDB Genseqno,0,0,339
341,Non-standard to Standard exclude child (OMOP),0,0,342
342,Standard to Non-standard exclude child (OMOP),0,0,341
343,Non-standard to Standard draft (OMOP),0,0,344
344,Standard to Non-standard draft (OMOP),0,0,343
345,Concept replaced by (UCUM),0,0,346
346,Concept replaces (UCUM),0,0,345
347,Concept replaced by,0,0,348
348,Concept replaces,0,0,347
349,Inactive same_as active (SNOMED),0,0,350
350,Active same_as inactive (SNOMED),0,0,349
351,Inactive alternative_to active (SNOMED),0,0,352
352,Active alternative_to inactive (SNOMED),0,0,351
353,Inactive possibly_equivalent_to active (SNOMED),0,0,354
354,Active possibly_equivalent_to inactive (SNOMED),0,0,353
355,Inactive was_a active (SNOMED),0,0,356
356,Active was_a inactive (SNOMED),0,0,355
357,SNOMED measurement subsumes HCPCS (OMOP),1,1,358
358,HCPCS is a SNOMED measurement (OMOP),1,0,357
359,Domain subsumes (OMOP),1,0,360
360,Is a domain (OMOP),0,0,359
361,Non-standard to value_as_concept map (OMOP),0,0,362
362,Value_as_concept to non-standard map (OMOP),0,0,361
363,Non-standard to unit concept map (OMOP),0,0,364
364,Unit concept to non-standard map (OMOP),0,0,363
365,Non-standard to type concept map (OMOP),0,0,366
366,Type concept to non-standard map (OMOP),0,0,365
