code	name	length
15175	"Acellular dermal replacement, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or one percent of body area of infants and children"	203
15171	"Acellular dermal replacement, trunk, arms, legs; each additional 100 sq cm, or each additional one percent of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"	220
15170	"Acellular dermal replacement, trunk, arms, legs; first 100 sq cm or less, or one percent of body area of infants and children"	125
15431	"Acellular xenograft implant; each additional 100 sq cm, or each additional one percent of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"	200
15430	"Acellular xenograft implant; first 100 sq cm or less, or one percent of body area of infants and children"	105
27120	"Acetabuloplasty; (eg, Whitman, Colonna, Haygroves, or cup type)"	63
27122	"Acetabuloplasty; resection, femoral head (eg, Girdlestone procedure)"	68
82000	"Acetaldehyde, blood"	19
82003	Acetaminophen	13
82009	"Acetone or other ketone bodies, serum; qualitative"	50
82010	"Acetone or other ketone bodies, serum; quantitative"	51
82013	Acetylcholinesterase	20
10040	"Acne surgery (eg, marsupialization, opening or removal of multiple milia, comedones, cysts, pustules)"	101
0225T	"Acoustic cardiography, including automated analysis of combined acoustic and electrical intervals; multiple, including serial trended analysis and limited reprogramming of device parameter, AV and VV delays, with interpretation and report"	238
0224T	"Acoustic cardiography, including automated analysis of combined acoustic and electrical intervals; multiple, including serial trended analysis and limited reprogramming of device parameter, AV or VV delays only, with interpretation and report"	242
0223T	"Acoustic cardiography, including automated analysis of combined acoustic and electrical intervals; single, with interpretation and report"	137
0069T	Acoustic heart sound recording and computer analysis; acoustic heart sound recording and computer analysis only (List separately in addition to codes for electrocardiography)	174
0070T	Acoustic heart sound recording and computer analysis; interpretation and report only (List separately in addition to codes for electrocardiography)	147
0068T	Acoustic heart sound recording and computer analysis; with interpretation and report (List separately in addition to codes for electrocardiography)	147
92570	"Acoustic immittance testing, includes tympanometry (impedance testing), acoustic reflex threshold testing, and acoustic reflex decay testing"	140
92569	Acoustic reflex decay test	26
92568	Acoustic reflex testing	23
23130	"Acromioplasty or acromionectomy, partial, with or without coracoacromial ligament release"	89
80402	ACTH stimulation panel; for 21 hydroxylase deficiency This panel must include the following: Cortisol (82533 x 2) 17 hydroxyprogesterone (83498 x 2)	148
80406	ACTH stimulation panel; for 3 beta-hydroxydehydrogenase deficiency This panel must include the following: Cortisol (82533 x 2) 17 hydroxypregnenolone (84143 x 2)	161
80400	ACTH stimulation panel; for adrenal insufficiency This panel must include the following: Cortisol (82533 x 2)	109
0089T	"Actigraphy testing, recording, analysis and interpretation (minimum of three-day recording)"	91
95803	"Actigraphy testing, recording, analysis, interpretation, and report (minimum of 72 hours to 14 consecutive days of recording)"	125
96900	Actinotherapy (ultraviolet light)	33
85307	Activated Protein C (APC) resistance assay	42
4250F	"Active warming used intraoperatively for the purpose of maintaining normothermia, OR at least one body temperature equal to or greater than 36 degrees Centigrade (or 96.8 degrees Fahrenheit) recorded within the 30 minutes immediately before or the 30 minu"	255
97814	"Acupuncture, one or more needles, with electrical stimulation; each additional 15 minutes of personal one-on-one contact with the patient, with re-insertion of needle(s) (List separately in addition to code for primary procedure)"	229
97813	"Acupuncture, one or more needles, with electrical stimulation; initial 15 minutes of personal one-on-one contact with the patient"	129
97811	"Acupuncture, one or more needles, without electrical stimulation; each additional 15 minutes of personal one-on-one contact with the patient, with re-insertion of needle(s) (List separately in addition to code for primary procedure)"	232
97810	"Acupuncture, one or more needles, without electrical stimulation; initial 15 minutes of personal one-on-one contact with the patient"	132
97781	"Acupuncture, one or more needles; with electrical stimulation"	61
97780	"Acupuncture, one or more needles; without electrical stimulation"	64
78278	Acute gastrointestinal blood loss imaging	41
80074	"Acute hepatitis panel This panel must include the following: Hepatitis A antibody (HAAb), IgM antibody (86709) Hepatitis B core antibody (HbcAb), IgM antibody (86705) Hepatitis B surface antigen (HbsAg) (87340) Hepatitis C antibody (86803)"	239
78456	"Acute venous thrombosis imaging, peptide"	40
82016	"Acylcarnitines; qualitative, each specimen"	42
82017	"Acylcarnitines; quantitative, each specimen"	43
29440	Adding walker to previously applied cast	40
85030	"Additional automated hemogram indices (eg, red cell distribution width (RDW), mean platelet volume (MPV), red blood cell histogram, platelet histogram, white blood cell histogram); four or more indices."	202
85029	"Additional automated hemogram indices (eg, red cell distribution width (RDW), mean platelet volume (MPV), red blood cell histogram, platelet histogram, white blood cell histogram); one to three indices."	202
93657	Additional linear or focal intracardiac catheter ablation of the left or right atrium for treatment of atrial fibrillation remaining after completion of pulmonary vein isolation (List separately in addition to code for primary procedure)	237
42831	"Adenoidectomy, primary; age 12 or over"	38
42830	"Adenoidectomy, primary; under age 12"	36
42836	"Adenoidectomy, secondary; age 12 or over"	40
42835	"Adenoidectomy, secondary; under age 12"	38
82030	"Adenosine, 5-monophosphate, cyclic (cyclic AMP)"	47
90476	"Adenovirus vaccine, type 4, live, for oral use"	46
90477	"Adenovirus vaccine, type 7, live, for oral use"	46
14301	"Adjacent tissue transfer or rearrangement, any area; defect 30.1 sq cm to 60.0 sq cm"	84
14302	"Adjacent tissue transfer or rearrangement, any area; each additional 30.0 sq cm, or part thereof (List separately in addition to code for primary procedure)"	156
14060	"Adjacent tissue transfer or rearrangement, eyelids, nose, ears and/or lips; defect 10 sq cm or less"	99
14061	"Adjacent tissue transfer or rearrangement, eyelids, nose, ears and/or lips; defect 10.1 sq cm to 30.0 sq cm"	107
14040	"Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10 sq cm or less"	142
14041	"Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10.1 sq cm to 30.0 sq cm"	150
14300	"Adjacent tissue transfer or rearrangement, more than 30 sq cm, unusual or complicated, any area"	95
14020	"Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10 sq cm or less"	91
14021	"Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10.1 sq cm to 30.0 sq cm"	99
14000	"Adjacent tissue transfer or rearrangement, trunk; defect 10 sq cm or less"	73
14001	"Adjacent tissue transfer or rearrangement, trunk; defect 10.1 sq cm to 30.0 sq cm"	81
20693	"Adjustment or revision of external fixation system requiring anesthesia (eg, new pin(s) or wire(s) and/or new ring(s) or bar(s))"	128
4164F	"Adjuvant (ie, in combination with external beam radiotherapy to the prostate for prostate cancer) hormonal therapy (gonadotropin-releasing hormone [GnRH] agonist or antagonist) prescribed/administered (PRCA)"	207
4180F	Adjuvant chemotherapy prescribed or previously received for Stage IIIA through Stage IIIC colon cancer (ONC)	108
99420	"Administration and interpretation of health risk assessment instrument (eg, health hazard appraisal)"	100
78075	"Adrenal imaging, cortex and/or medulla"	38
60540	"Adrenalectomy, partial or complete, or exploration of adrenal gland with or without biopsy, transabdominal, lumbar or dorsal (separate procedure)"	145
60545	"Adrenalectomy, partial or complete, or exploration of adrenal gland with or without biopsy, transabdominal, lumbar or dorsal (separate procedure); with excision of adjacent retroperitoneal tumor"	194
82024	Adrenocorticotropic hormone (ACTH)	34
1157F	Advance care plan or similar legal document present in the medical record (COA)	79
1157F	Advance care plan or similar legal document present in the medical record (COA)	79
1123F	Advance Care Planning discussed and documented advance care plan or surrogate decision maker documented in the medical record (GER)	131
1123F	Advance Care Planning discussed and documented advance care plan or surrogate decision maker documented in the medical record (GER)	131
1124F	Advance Care Planning discussed and documented in the medical record patient did not wish or was not able to name a surrogate decision maker or provide an advance care plan (GER)	178
1124F	Advance Care Planning discussed and documented in the medical record patient did not wish or was not able to name a surrogate decision maker or provide an advance care plan (GER)	178
1158F	Advance care planning discussion documented in the medical record (COA)	71
1158F	Advance care planning discussion documented in the medical record (COA)	71
94642	Aerosol inhalation of pentamidine for pneumocystis carinii pneumonia treatment or prophylaxis	93
94664	"Aerosol or vapor inhalations for sputum mobilization, bronchodilation, or sputum induction for diagnostic purposes; initial demonstration and/or evaluation"	155
94665	"Aerosol or vapor inhalations for sputum mobilization, bronchodilation, or sputum induction for diagnostic purposes; subsequent"	126
4007F	Age-Related Eye Disease Study (AREDS) formulation prescribed or recommended (EC)	80
86000	"Agglutinins, febrile (eg, Brucella, Francisella, Murine typhus, Q fever, Rocky Mountain spotted fever, scrub typhus), each antigen"	130
94728	Airway resistance by impulse oscillometry	41
0250T	"Airway sizing and insertion of bronchial valve(s), each lobe (List separately in addition to code for primary procedure)"	120
3370F	AJCC Breast Cancer Stage 0 documented (ONC)	43
3374F	AJCC Breast Cancer Stage I: T1c (tumor size > 1 cm to 2 cm) documented (ONC)	76
3372F	"AJCC Breast Cancer Stage I: T1mic, T1a or T1b (tumor size <= 1 cm) documented (ONC)"	83
3376F	AJCC Breast Cancer Stage II documented (ONC)	44
3378F	AJCC Breast Cancer Stage III documented (ONC)	45
3380F	AJCC Breast Cancer Stage IV documented (ONC)	44
3321F	"AJCC Cancer Stage 0 or IA Melanoma, documented (ML)"	51
3321F	"AJCC Cancer Stage 0 or IA Melanoma, documented (ML)"	51
3302F	"AJCC Cancer Stage 0, documented (ONC)1, (ML)"	44
3303F	"AJCC Cancer Stage IA, documented (ONC)1, (ML)"	45
3304F	"AJCC Cancer Stage IB, documented (ONC)1, (ML)"	45
3305F	"AJCC Cancer Stage IC, documented (ONC)1, (ML)"	45
3306F	"AJCC Cancer Stage IIA, documented (ONC)1, (ML)"	46
3307F	"AJCC Cancer Stage IIB, documented (ONC)1, (ML)"	46
3308F	"AJCC Cancer Stage IIC, documented (ONC)1, (ML)"	46
3309F	"AJCC Cancer Stage IIIA, documented (ONC), (ML)"	46
3310F	"AJCC Cancer Stage IIIB, documented (ONC)1, (ML)"	47
3311F	"AJCC Cancer Stage IIIC, documented (ONC), (ML)"	46
3312F	"AJCC Cancer Stage IV, documented (ONC), (ML)"	44
3313F	"AJCC Cancer Stage IVB, documented (ONC), (ML)"	45
3314F	"AJCC Cancer Stage IVC, documented (ONC), (ML)"	45
3382F	"AJCC colon cancer, Stage 0 documented (ONC)"	43
3384F	"AJCC colon cancer, Stage I documented (ONC)"	43
3386F	"AJCC colon cancer, Stage II documented (ONC)"	44
3388F	"AJCC colon cancer, Stage III documented (ONC)"	45
3390F	"AJCC colon cancer, Stage IV documented (ONC)"	44
1070F	"Alarm symptoms (involuntary weight loss, dysphagia, or gastrointestinal bleeding) assessed; none present (GERD)"	111
1071F	"Alarm symptoms (involuntary weight loss, dysphagia, or gastrointestinal bleeding) assessed; one or more present (GERD)"	118
82045	Albumin; ischemia modified	26
82040	Albumin; serum	14
82042	"Albumin; urine or other source, quantitative, each specimen"	59
82043	"Albumin; urine, microalbumin, quantitative"	42
82044	"Albumin; urine, microalbumin, semiquantitative (eg, reagent strip assay)"	72
82055	Alcohol (ethanol); any specimen except breath	45
82075	Alcohol (ethanol); breath	25
99408	"Alcohol and/or substance (other than tobacco) abuse structured screening (eg, AUDIT, DAST), and brief intervention (SBI) services; 15 to 30 minutes"	147
99409	"Alcohol and/or substance (other than tobacco) abuse structured screening (eg, AUDIT, DAST), and brief intervention (SBI) services; greater than 30 minutes"	154
82085	Aldolase	8
82088	Aldosterone	11
80408	"Aldosterone suppression evaluation panel (eg, saline infusion) This panel must include the following: Aldosterone (82088 x 2) Renin (84244 x 2)"	143
0206T	"Algorithmic analysis, remote, of electrocardiographic-derived data with computer probability assessment, including report"	121
82101	"Alkaloids, urine, quantitative"	30
6030F	"All elements of maximal sterile barrier technique including: cap AND mask AND sterile gown AND sterile gloves AND a large sterile sheet AND hand hygiene AND 2% chlorhexidine for cutaneous antisepsis, followed (CRIT)"	215
1180F	All specified thromboembolic risk factors assessed (AFIB)	57
86005	"Allergen specific IgE; qualitative, multiallergen screen (dipstick, paddle or disk)"	83
86003	"Allergen specific IgE; quantitative or semiquantitative, each allergen"	70
86001	"Allergen specific IgG quantitative or semiquantitative, each allergen"	69
95018	"Allergy testing, any combination of percutaneous (scratch, puncture, prick) and intracutaneous (intradermal), sequential and incremental, with drugs or biologicals, immediate type reaction, including test interpretation and report, specify number of tests"	255
95017	"Allergy testing, any combination of percutaneous (scratch, puncture, prick) and intracutaneous (intradermal), sequential and incremental, with venoms, immediate type reaction, including test interpretation and report, specify number of tests"	241
20930	Allograft for spine surgery only; morselized	44
20931	Allograft for spine surgery only; structural	44
15321	###############################################################################################################################################################################################################################################################	256
15320	"Allograft skin for temporary wound closure, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or one percent of body area of infants and children"	217
15301	"Allograft skin for temporary wound closure, trunk, arms, legs; each additional 100 sq cm, or each additional one percent of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"	234
15300	"Allograft skin for temporary wound closure, trunk, arms, legs; first 100 sq cm or less, or one percent of body area of infants and children"	139
82104	Alpha-1-antitrypsin; phenotype	30
82103	Alpha-1-antitrypsin; total	26
82107	Alpha-fetoprotein (AFP); AFP-L3 fraction isoform and total AFP (including ratio)	80
82106	Alpha-fetoprotein; amniotic fluid	33
82105	Alpha-fetoprotein; serum	24
92	Alternative Laboratory Platform Testing	39
4144F	Alternative long-term control medication prescribed (Asthma)	60
82108	Aluminum	8
41830	"Alveolectomy, including curettage of osteitis or sequestrectomy"	63
41874	"Alveoloplasty, each quadrant (specify)"	38
93784	"Ambulatory blood pressure monitoring, utilizing a system such as magnetic tape and/or computer disk, for 24 hours or longer; including recording, scanning analysis, interpretation and report"	190
93790	"Ambulatory blood pressure monitoring, utilizing a system such as magnetic tape and/or computer disk, for 24 hours or longer; physician review with interpretation and report"	172
93786	"Ambulatory blood pressure monitoring, utilizing a system such as magnetic tape and/or computer disk, for 24 hours or longer; recording only"	139
93788	"Ambulatory blood pressure monitoring, utilizing a system such as magnetic tape and/or computer disk, for 24 hours or longer; scanning analysis with report"	154
95251	Ambulatory continuous glucose monitoring of interstitial tissue fluid via a subcutaneous sensor for up to 72 hours; physician interpretation and report	151
3300F	American Joint Committee on Cancer (AJCC) stage documented and reviewed (ONC)	77
3300F	American Joint Committee on Cancer (AJCC) stage documented and reviewed (ONC)	77
80150	Amikacin	8
82120	"Amines, vaginal fluid, qualitative"	34
82136	"Amino acids, 2 to 5 amino acids, quantitative, each specimen"	60
82139	"Amino acids, 6 or more amino acids, quantitative, each specimen"	63
82130	"Amino acids, urine or plasma, chromatographic fractionation."	60
82128	"Amino acids; multiple, qualitative, each specimen"	49
82127	"Amino acids; single, qualitative, each specimen"	47
82131	"Amino acids; single, quantitative, each specimen"	48
82135	"Aminolevulinic acid, delta (ALA)"	32
80152	Amitriptyline	13
82140	Ammonia	7
59000	Amniocentesis; diagnostic	25
59001	Amniocentesis; therapeutic amniotic fluid reduction (includes ultrasound guidance)	82
82143	Amniotic fluid scan (spectrophotometric)	40
82145	Amphetamine or methamphetamine	30
54135	"Amputation of penis, radical; in continuity with bilateral pelvic lymphadenectomy, including external iliac, hypogastric and obturator nodes"	140
54130	"Amputation of penis, radical; with bilateral inguinofemoral lymphadenectomy"	75
54125	Amputation of penis; complete	29
54120	Amputation of penis; partial	28
27888	"Amputation, ankle, through malleoli of tibia and fibula (eg, Syme, Pirogoff type procedures), with plastic closure and resection of nerves"	138
24920	"Amputation, arm through humerus; open, circular (guillotine)"	60
24930	"Amputation, arm through humerus; re-amputation"	46
24925	"Amputation, arm through humerus; secondary closure or scar revision"	67
24931	"Amputation, arm through humerus; with implant"	45
24900	"Amputation, arm through humerus; with primary closure"	53
26951	"Amputation, finger or thumb, primary or secondary, any joint or phalanx, single, including neurectomies; with direct closure"	124
26952	"Amputation, finger or thumb, primary or secondary, any joint or phalanx, single, including neurectomies; with local advancement flaps (V-Y, hood)"	145
28800	"Amputation, foot; midtarsal (eg, Chopart type procedure)"	56
28805	"Amputation, foot; transmetatarsal"	33
25900	"Amputation, forearm, through radius and ulna"	44
25905	"Amputation, forearm, through radius and ulna; open, circular (guillotine)"	73
25909	"Amputation, forearm, through radius and ulna; re-amputation"	59
25907	"Amputation, forearm, through radius and ulna; secondary closure or scar revision"	80
27880	"Amputation, leg, through tibia and fibula"	41
27882	"Amputation, leg, through tibia and fibula; open, circular (guillotine)"	70
27886	"Amputation, leg, through tibia and fibula; re-amputation"	56
27884	"Amputation, leg, through tibia and fibula; secondary closure or scar revision"	77
27881	"Amputation, leg, through tibia and fibula; with immediate fitting technique including application of first cast"	111
26910	"Amputation, metacarpal, with finger or thumb (ray amputation), single, with or without interosseous transfer"	108
28810	"Amputation, metatarsal, with toe, single"	40
27590	"Amputation, thigh, through femur, any level"	43
27591	"Amputation, thigh, through femur, any level; immediate fitting technique including first cast"	93
27592	"Amputation, thigh, through femur, any level; open, circular (guillotine)"	72
27596	"Amputation, thigh, through femur, any level; re-amputation"	58
27594	"Amputation, thigh, through femur, any level; secondary closure or scar revision"	79
28825	"Amputation, toe; interphalangeal joint"	38
28820	"Amputation, toe; metatarsophalangeal joint"	42
82150	Amylase	7
99090	"Analysis of clinical data stored in computers (eg, ECGs, blood pressures, hematologic data)"	91
33606	Anastomosis of pulmonary artery to aorta (Damus-Kaye-Stansel procedure)	71
61711	"Anastomosis, arterial, extracranial-intracranial (eg, middle cerebral/cortical) arteries"	88
33768	"Anastomosis, cavopulmonary, second superior vena cava (List separately in addition to primary procedure)"	104
47716	"Anastomosis, choledochal cyst, without excision"	47
47719	"Anastomosis, choledochal cyst, without excision"	47
47760	"Anastomosis, of extrahepatic biliary ducts and gastrointestinal tract"	69
47765	"Anastomosis, of intrahepatic ducts and gastrointestinal tract"	61
47780	"Anastomosis, Roux-en-Y, of extrahepatic biliary ducts and gastrointestinal tract"	80
47785	"Anastomosis, Roux-en-Y, of intrahepatic biliary ducts and gastrointestinal tract"	80
64868	Anastomosis; facial-hypoglossal	31
64870	Anastomosis; facial-phrenic	27
64866	Anastomosis; facial-spinal accessory	36
82154	Androstanediol glucuronide	26
82157	Androstenedione	15
82160	Androsterone	12
0516F	Anemia plan of care documented (ESRD)	37
0516F	Anemia plan of care documented (ESRD)	37
47	Anesthesia by Surgeon	21
99140	Anesthesia complicated by emergency conditions (specify) (List separately in addition to code for primary anesthesia procedure)	127
99135	Anesthesia complicated by utilization of controlled hypotension (List separately in addition to code for primary anesthesia procedure)	134
99116	Anesthesia complicated by utilization of total body hypothermia (List separately in addition to code for primary anesthesia procedure)	134
01964	Anesthesia for abortion procedures	34
00532	Anesthesia for access to central venous circulation	51
01420	"Anesthesia for all cast applications, removal, or repair involving knee joint"	77
01200	Anesthesia for all closed procedures involving hip joint	56
01220	Anesthesia for all closed procedures involving upper 2/3 of femur	65
01620	"Anesthesia for all closed procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint"	130
01730	Anesthesia for all closed procedures on humerus and elbow	57
01380	Anesthesia for all closed procedures on knee joint	50
01340	Anesthesia for all closed procedures on lower 1/3 of femur	58
01462	"Anesthesia for all closed procedures on lower leg, ankle, and foot"	66
01820	"Anesthesia for all closed procedures on radius, ulna, wrist, or hand bones"	74
01390	"Anesthesia for all closed procedures on upper ends of tibia, fibula, and/or patella"	83
01360	Anesthesia for all open procedures on lower 1/3 of femur	56
01392	"Anesthesia for all open procedures on upper ends of tibia, fibula, and/or patella"	81
01260	"Anesthesia for all procedures involving veins of upper leg, including exploration"	81
00500	Anesthesia for all procedures on esophagus	42
00322	"Anesthesia for all procedures on esophagus, thyroid, larynx, trachea and lymphatic system of neck; needle biopsy of thyroid"	123
00320	"Anesthesia for all procedures on esophagus, thyroid, larynx, trachea and lymphatic system of neck; not otherwise specified"	122
01800	"Anesthesia for all procedures on integumentary system of forearm, wrist, and hand."	82
01300	Anesthesia for all procedures on integumentary system of knee and/or popliteal area.	84
01460	"Anesthesia for all procedures on integumentary system of lower leg, ankle, and foot."	84
01600	Anesthesia for all procedures on integumentary system of shoulder and axilla.	77
01700	Anesthesia for all procedures on integumentary system of upper arm and elbow.	77
01240	Anesthesia for all procedures on integumentary system of upper leg.	67
00770	Anesthesia for all procedures on major abdominal blood vessels	62
01810	"Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of forearm, wrist, and hand"	105
01320	"Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of knee and/or popliteal area"	107
01610	"Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of shoulder and axilla"	100
01250	"Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of upper leg"	90
00300	"Anesthesia for all procedures on the integumentary system, muscles and nerves of head, neck, and posterior trunk, not otherwise specified"	137
00326	Anesthesia for all procedures on the larynx and trachea in children less than 1 year of age	91
01670	Anesthesia for all procedures on veins of shoulder and axilla	61
01921	Anesthesia for angioplasty	26
00902	Anesthesia for anorectal procedure	34
01918	"Anesthesia for arteriograms, needle; retrograde, brachial or femoral"	68
01464	Anesthesia for arthroscopic procedures of ankle joint	53
01732	Anesthesia for arthroscopic procedures of elbow joint	53
01202	Anesthesia for arthroscopic procedures of hip joint	51
01382	Anesthesia for arthroscopic procedures of knee joint	52
01622	Anesthesia for arthroscopic procedures of shoulder joint	56
01130	Anesthesia for body cast application or revision	48
01112	"Anesthesia for bone marrow aspiration and/or biopsy, anterior or posterior iliac crest"	86
01920	Anesthesia for cardiac catheterization including coronary angiography and ventriculography (not to include Swan-Ganz catheter)	126
00537	Anesthesia for cardiac electrophysiologic procedures including radiofrequency ablation	86
01961	Anesthesia for cesarean delivery only	37
01963	Anesthesia for cesarean hysterectomy without any labor analgesia/anesthesia care	80
00520	Anesthesia for closed chest procedures; (including bronchoscopy) not otherwise specified	88
00528	Anesthesia for closed chest procedures; mediastinoscopy and diagnostic thoracoscopy	83
00529	Anesthesia for closed chest procedures; mediastinoscopy and diagnostic thoracoscopy utilizing one lung ventilation	114
00522	Anesthesia for closed chest procedures; needle biopsy of pleura	63
00524	Anesthesia for closed chest procedures; pneumocentesis	54
01160	Anesthesia for closed procedures involving symphysis pubis or sacroiliac joint	78
01916	Anesthesia for diagnostic arteriography/venography	50
01829	Anesthesia for diagnostic arthroscopic procedures on the wrist	62
01991	Anesthesia for diagnostic or therapeutic nerve blocks and injections (when block or injection is performed by a different provider); other than the prone position	162
01992	Anesthesia for diagnostic or therapeutic nerve blocks and injections (when block or injection is performed by a different provider); prone position	147
00566	Anesthesia for direct coronary artery bypass grafting without pump oxygenator	77
00567	Anesthesia for direct coronary artery bypass grafting; with pump oxygenator	75
00104	Anesthesia for electroconvulsive therapy	40
00670	"Anesthesia for extensive spine and spinal cord procedures (eg, spinal instrumentation or vascular procedures)"	109
01958	Anesthesia for external cephalic version procedure	50
00866	"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; adrenalectomy"	98
00870	"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; cystolithotomy"	99
00860	"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; not otherwise specified"	108
00865	"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; radical prostatectomy (suprapubic, retropubic)"	131
00862	"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; renal procedures, including upper 1/3 of ureter, or donor nephrectomy"	154
00868	"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; renal transplant (recipient)"	113
00864	"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; total cystectomy"	101
00869	"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; vasectomy, unilateral/bilateral"	116
01860	"Anesthesia for forearm, wrist, or hand cast application, removal, or repair"	75
00580	Anesthesia for heart transplant or heart/lung transplant	56
00830	Anesthesia for hernia repairs in lower abdomen; not otherwise specified	71
00832	Anesthesia for hernia repairs in lower abdomen; ventral and incisional hernias	78
00836	"Anesthesia for hernia repairs in the lower abdomen not otherwise specified, infants less than 37 weeks gestational age at birth and less than 50 weeks gestational age at time of surgery"	185
00834	"Anesthesia for hernia repairs in the lower abdomen not otherwise specified, under 1 year of age"	95
00752	Anesthesia for hernia repairs in upper abdomen; lumbar and ventral (incisional) hernias and/or wound dehiscence	111
00750	Anesthesia for hernia repairs in upper abdomen; not otherwise specified	71
00754	Anesthesia for hernia repairs in upper abdomen; omphalocele	59
00756	Anesthesia for hernia repairs in upper abdomen; transabdominal repair of diaphragmatic hernia	93
01965	Anesthesia for incomplete or missed abortion procedures	55
01966	Anesthesia for induced abortion procedures	42
01914	Anesthesia for injection procedure for diskography; cervical	60
01912	Anesthesia for injection procedure for diskography; lumbar	58
01908	Anesthesia for injection procedure for myelography; cervical	60
01906	Anesthesia for injection procedure for myelography; lumbar	58
01910	Anesthesia for injection procedure for myelography; posterior fossa	67
01904	Anesthesia for injection procedure for pneumoencephalography	60
01140	Anesthesia for interpelviabdominal (hindquarter) amputation	59
