Code	Description
A03AB04	penthienate
A03AB05	propantheline
A03AB06	otilonium bromide
A03AB07	methantheline
A03AB08	tridihexethyl
A03AB09	isopropamide
A03AB10	hexocyclium
A03AB11	poldine
A03AB12	mepenzolate
A03AB13	bevonium
A03AB14	pipenzolate
A03AB15	diphemanil
A03AB16	(2-benzhydryloxyethyl)diethyl-methylammonium iodide
A03AB17	tiemonium iodide
A03AB18	prifinium bromide
A03AB19	timepidium bromide
A03AB21	fenpiverinium
A03AB53	oxyphenonium, combinations
A03AC	Synthetic antispasmodics, amides with tertiary amines
A03AC02	dimethylaminopropionylphenothiazine
A03AC04	nicofetamide
A03AC05	tiropramide
A03AD	Papaverine and derivatives
A03AD01	papaverine
A03AD02	drotaverine
A03AD30	moxaverine
A03AE	Serotonin receptor antagonists
A03AE01	alosetron
A03AE03	cilansetron
A03AX	Other drugs for functional gastrointestinal disorders
A03AX01	fenpiprane
A03AX02	diisopromine
A03AX03	chlorbenzoxamine
A03AX04	pinaverium
A03AX05	fenoverine
A03AX06	idanpramine
A03AX07	proxazole
A03AX08	alverine
A03AX09	trepibutone
A03AX10	isometheptene
A03AX11	caroverine
A03AX12	phloroglucinol
A03AX13	silicones
A03AX30	trimethyldiphenylpropylamine
A03AX58	alverine, combinations
A03B	BELLADONNA AND DERIVATIVES, PLAIN
A03BA	Belladonna alkaloids, tertiary amines
A03BA01	atropine
A03BA03	hyoscyamine
A03BA04	belladonna total alkaloids
A03BB	Belladonna alkaloids, semisynthetic, quaternary ammonium compounds
A03BB01	butylscopolamine
A03BB02	methylatropine
A03BB03	methylscopolamine
A03BB04	fentonium
A03BB05	cimetropium bromide
A03C	ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS
A03CA	Synthetic anticholinergic agents in combination with psycholeptics
A03CA01	isopropamide and psycholeptics
A03CA02	clidinium and psycholeptics
A03CA03	oxyphencyclimine and psycholeptics
A03CA04	otilonium bromide and psycholeptics
A03CA05	glycopyrronium bromide and psycholeptics
A03CA06	bevonium and psycholeptics
A03CA07	ambutonium and psycholeptics
A03CA08	diphemanil and psycholeptics
A03CA30	emepronium and psycholeptics
A03CA34	propantheline and psycholeptics
A03CB	Belladonna and derivatives in combination with psycholeptics
A03CB01	methylscopolamine and psycholeptics
A03CB02	belladonna total alkaloids and psycholeptics
A03CB03	atropine and psycholeptics
A03CB04	methylhomatropine and psycholeptics
A03CB31	hyoscyamine and psycholeptics
A03CC	Other antispasmodics in combination with psycholeptics
A03D	ANTISPASMODICS IN COMBINATION WITH ANALGESICS
A03DA	Synthetic anticholinergic agents in combination with analgesics
A03DA01	tropenzilone and analgesics
A03DA02	pitofenone and analgesics
A03DA03	bevonium and analgesics
A03DA04	ciclonium and analgesics
A03DA05	camylofin and analgesics
A03DA06	trospium and analgesics
A03DA07	tiemonium iodide and analgesics
A03DB	Belladonna and derivatives in combination with analgesics
A03DB04	butylscopolamine and analgesics
A03DC	Other antispasmodics in combination with analgesics
A03E	ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS
A03EA	Antispasmodics, psycholeptics and analgesics in combination
A03ED	Antispasmodics in combination with other drugs
A03F	PROPULSIVES
A03FA	Propulsives
A03FA01	metoclopramide
A03FA02	cisapride
A03FA03	domperidone
A03FA04	bromopride
A03FA05	alizapride
A03FA06	clebopride
A04	ANTIEMETICS AND ANTINAUSEANTS
A04A	ANTIEMETICS AND ANTINAUSEANTS
A04AA	Serotonin (5HT3) antagonists
A04AA01	ondansetron
A04AA02	granisetron
A04AA03	tropisetron
A04AA04	dolasetron
A04AA05	palonosetron
A04AD	Other antiemetics
A04AD01	scopolamine
A04AD02	cerium oxalate
A04AD04	chlorobutanol
A04AD05	metopimazine
A04AD10	dronabinol
A04AD11	nabilone
A04AD12	aprepitant
A04AD13	casopitant
A04AD51	scopolamine, combinations
A04AD54	chlorobutanol, combinations
A05	BILE AND LIVER THERAPY
A05A	BILE THERAPY
A05AA	Bile acid preparations
A05AA01	chenodeoxycholic acid
A05AA02	ursodeoxycholic acid
A05AA03	cholic acid
A05AB	Preparations for biliary tract therapy
A05AB01	nicotinyl methylamide
A05AX	Other drugs for bile therapy
A05AX01	piprozolin
A05AX02	hymecromone
A05AX03	cyclobutyrol
A05B	LIVER THERAPY, LIPOTROPICS
A05BA	Liver therapy
A05BA01	arginine glutamate
A05BA03	silymarin
A05BA04	citiolone
A05BA05	epomediol
A05BA06	ornithine oxoglurate
A05BA07	tidiacic arginine
A05BA08	glycyrrhizic acid
A05C	DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION
A06	DRUGS FOR CONSTIPATION
A06A	DRUGS FOR CONSTIPATION
A06AA	Softeners, emollients
A06AA01	liquid paraffin
A06AA02	docusate sodium
A06AA51	liquid paraffin, combinations
A06AB	Contact laxatives
A06AB01	oxyphenisatine
A06AB02	bisacodyl
A06AB03	dantron
A06AB04	phenolphthalein
A06AB05	castor oil
A06AB06	senna glycosides
A06AB07	cascara
A06AB08	sodium picosulfate
A06AB09	bisoxatin
A06AB20	contact laxatives in combination
A06AB30	contact laxatives in combination with belladonna alkaloids
A06AB52	bisacodyl, combinations
A06AB53	dantron, combinations
A06AB56	senna glycosides, combinations
A06AB57	cascara, combinations
A06AB58	sodium picosulfate, combinations
A06AC	Bulk-forming laxatives
A06AC01	ispaghula (psylla seeds)
A06AC02	ethulose
A06AC03	sterculia
A06AC05	linseed
A06AC06	methylcellulose
A06AC07	triticum (wheat fibre)
A06AC08	polycarbophil calcium
A06AC51	ispaghula, combinations
A06AC53	sterculia, combinations
A06AC55	linseed, combinations
A06AD	Osmotically acting laxatives
A06AD01	magnesium carbonate
A06AD02	magnesium oxide
A06AD03	magnesium peroxide
A06AD04	magnesium sulfate
A06AD10	mineral salts in combination
A06AD11	lactulose
A06AD12	lactitol
A06AD13	sodium sulfate
A06AD14	pentaerithrityl
A06AD15	macrogol
A06AD16	mannitol
A06AD17	sodium phosphate
A06AD18	sorbitol
A06AD19	magnesium citrate
A06AD21	sodium tartrate
A06AD61	lactulose, combinations
A06AD65	macrogol, combinations
A06AG	Enemas
A06AG01	sodium phosphate
A06AG02	bisacodyl
A06AG03	dantron, incl. combinations
A06AG04	glycerol
A06AG06	oil
A06AG07	sorbitol
A06AG10	docusate sodium, incl. combinations
A06AG11	laurilsulfate, incl. combinations
A06AG20	combinations
A06AH	Peripheral opioid receptor antagonists
A06AH01	methylnaltrexone bromide
A06AH02	alvimopan
A06AH03	naloxegol
A06AX	Other drugs for constipation
A06AX01	glycerol
A06AX02	carbon dioxide producing drugs
A06AX03	lubiprostone
A06AX04	linaclotide
A06AX05	prucalopride
A06AX06	tegaserod
A07	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
A07A	INTESTINAL ANTIINFECTIVES
A07AA	Antibiotics
A07AA01	neomycin
A07AA02	nystatin
A07AA03	natamycin
A07AA04	streptomycin
A07AA05	polymyxin B
A07AA06	paromomycin
A07AA07	amphotericin B
A07AA08	kanamycin
A07AA09	vancomycin
A07AA10	colistin
A07AA11	rifaximin
A07AA12	fidaxomicin
A07AA51	neomycin, combinations
A07AA54	streptomycin, combinations
A07AB	Sulfonamides
A07AB02	phthalylsulfathiazole
A07AB03	sulfaguanidine
A07AB04	succinylsulfathiazole
A07AC	Imidazole derivatives
A07AC01	miconazole
A07AX	Other intestinal antiinfectives
A07AX01	broxyquinoline
A07AX02	acetarsol
A07AX03	nifuroxazide
A07AX04	nifurzide
A07B	INTESTINAL ADSORBENTS
A07BA	Charcoal preparations
A07BA01	medicinal charcoal
A07BA51	medicinal charcoal, combinations
A07BB	Bismuth preparations
A07BC	Other intestinal adsorbents
A07BC01	pectin
A07BC02	kaolin
A07BC03	crospovidone
A07BC04	attapulgite
A07BC05	diosmectite
A07BC30	combinations
A07BC54	attapulgite, combinations
A07C	ELECTROLYTES WITH CARBOHYDRATES
A07CA	Oral rehydration salt formulations
A07D	ANTIPROPULSIVES
A07DA	Antipropulsives
A07DA01	diphenoxylate
A07DA02	opium
A07DA03	loperamide
A07DA04	difenoxin
A07DA05	loperamide oxide
A07DA52	morphine, combinations
A07DA53	loperamide, combinations
A07E	INTESTINAL ANTIINFLAMMATORY AGENTS
A07EA	Corticosteroids acting locally
A07EA01	prednisolone
A07EA02	hydrocortisone
A07EA03	prednisone
A07EA04	betamethasone
A07EA05	tixocortol
A07EA06	budesonide
A07EA07	beclometasone
A07EB	Antiallergic agents, excl. corticosteroids
A07EB01	cromoglicic acid
A07EC	Aminosalicylic acid and similar agents
A07EC01	sulfasalazine
A07EC02	mesalazine
A07EC03	olsalazine
A07EC04	balsalazide
A07F	ANTIDIARRHEAL MICROORGANISMS
A07FA	Antidiarrheal microorganisms
A07FA01	lactic acid producing organisms
A07FA02	saccharomyces boulardii
A07FA51	lactic acid producing organisms, combinations
A07X	OTHER ANTIDIARRHEALS
A07XA	Other antidiarrheals
A07XA01	albumin tannate
A07XA02	ceratonia
A07XA03	calcium compounds
A07XA04	racecadotril
A07XA51	albumin tannate, combinations
A08	ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS
A08A	ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS
A08AA	Centrally acting antiobesity products
A08AA01	phentermine
A08AA02	fenfluramine
A08AA03	amfepramone
A08AA04	dexfenfluramine
A08AA05	mazindol
A08AA06	etilamfetamine
A08AA07	cathine
A08AA08	clobenzorex
A08AA09	mefenorex
A08AA10	sibutramine
A08AA11	lorcaserin
A08AA56	ephedrine, combinations
A08AB	Peripherally acting antiobesity products
A08AB01	orlistat
A08AX	Other antiobesity drugs
A08AX01	rimonabant
A09	DIGESTIVES, INCL. ENZYMES
A09A	DIGESTIVES, INCL. ENZYMES
A09AA	Enzyme preparations
A09AA01	diastase
A09AA02	multienzymes (lipase, protease etc.)
A09AA03	pepsin
A09AA04	tilactase
A09AB	Acid preparations
A09AB01	glutamic acid hydrochloride
A09AB02	betaine hydrochloride
A09AB03	hydrochloric acid
A09AB04	citric acid
A09AC	Enzyme and acid preparations, combinations
A09AC01	pepsin and acid preparations
A09AC02	multienzymes and acid preparations
A10	DRUGS USED IN DIABETES
A10A	INSULINS AND ANALOGUES
A10AB	Insulins and analogues for injection, fast-acting
A10AB01	insulin (human)
A10AB02	insulin (beef)
A10AB03	insulin (pork)
A10AB04	insulin lispro
A10AB05	insulin aspart
A10AB06	insulin glulisine
A10AB30	combinations
A10AC	Insulins and analogues for injection, intermediate-acting
A10AC01	insulin (human)
A10AC02	insulin (beef)
A10AC03	insulin (pork)
A10AC04	insulin lispro
A10AC30	combinations
A10AD	Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting
A10AD01	insulin (human)
A10AD02	insulin (beef)
A10AD03	insulin (pork)
A10AD04	insulin lispro
A10AD05	insulin aspart
A10AD06	insulin degludec and insulin aspart
A10AD30	combinations
A10AE	Insulins and analogues for injection, long-acting
A10AE01	insulin (human)
A10AE02	insulin (beef)
A10AE03	insulin (pork)
A10AE04	insulin glargine
A10AE05	insulin detemir
A10AE06	insulin degludec
A10AE30	combinations
A10AF	Insulins and analogues for inhalation
A10AF01	insulin (human)
A10B	BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS
A10BA	Biguanides
A10BA01	phenformin
A10BA02	metformin
A10BA03	buformin
A10BB	Sulfonamides, urea derivatives
A10BB01	glibenclamide
A10BB02	chlorpropamide
A10BB03	tolbutamide
A10BB04	glibornuride
A10BB05	tolazamide
A10BB06	carbutamide
A10BB07	glipizide
A10BB08	gliquidone
A10BB09	gliclazide
A10BB10	metahexamide
A10BB11	glisoxepide
A10BB12	glimepiride
A10BB31	acetohexamide
A10BC	Sulfonamides (heterocyclic)
A10BC01	glymidine
A10BD	Combinations of oral blood glucose lowering drugs
A10BD01	phenformin and sulfonamides
A10BD02	metformin and sulfonamides
A10BD03	metformin and rosiglitazone
A10BD04	glimepiride and rosiglitazone
A10BD05	metformin and pioglitazone
A10BD06	glimepiride and pioglitazone
A10BD07	metformin and sitagliptin
A10BD08	metformin and vildagliptin
A10BD09	pioglitazone and alogliptin
A10BD10	metformin and saxagliptin
A10BD11	metformin and linagliptin
A10BD12	pioglitazone and sitagliptin
A10BD13	metformin and alogliptin
A10BD14	metformin and repaglinide
A10BD15	metformin and dapagliflozin
A10BF	Alpha glucosidase inhibitors
A10BF01	acarbose
A10BF02	miglitol
A10BF03	voglibose
A10BG	Thiazolidinediones
A10BG01	troglitazone
A10BG02	rosiglitazone
A10BG03	pioglitazone
A10BH	Dipeptidyl peptidase 4 (DPP-4) inhibitors
A10BH01	sitagliptin
A10BH02	vildagliptin
A10BH03	saxagliptin
A10BH04	alogliptin
A10BH05	linagliptin
A10BH06	gemigliptin
A10BH51	sitagliptin and simvastatin
A10BX	Other blood glucose lowering drugs, excl. insulins
A10BX01	guar gum
A10BX02	repaglinide
A10BX03	nateglinide
A10BX04	exenatide
A10BX05	pramlintide
A10BX06	benfluorex
A10BX07	liraglutide
A10BX08	mitiglinide
A10BX09	dapagliflozin
A10BX10	lixisenatide
A10BX11	canagliflozin
A10BX12	empagliflozin
A10X	OTHER DRUGS USED IN DIABETES
A10XA	Aldose reductase inhibitors
A10XA01	tolrestat
A11	VITAMINS
A11A	MULTIVITAMINS, COMBINATIONS
A11AA	Multivitamins with minerals
A11AA01	multivitamins and iron
A11AA02	multivitamins and calcium
A11AA03	multivitamins and other minerals, incl. combinations
A11AA04	multivitamins and trace elements
A11AB	Multivitamins, other combinations
A11B	MULTIVITAMINS, PLAIN
A11BA	Multivitamins, plain
A11C	VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO
A11CA	Vitamin A, plain
A11CA01	retinol (vit A)
A11CA02	betacarotene
A11CB	Vitamin A and D in combination
A11CC	Vitamin D and analogues
A11CC01	ergocalciferol
A11CC02	dihydrotachysterol
A11CC03	alfacalcidol
A11CC04	calcitriol
A11CC05	colecalciferol
A11CC06	calcifediol
A11CC20	combinations
A11D	VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12
A11DA	Vitamin B1, plain
A11DA01	thiamine (vit B1)
A11DA02	sulbutiamine
A11DA03	benfotiamine
A11DB	Vitamin B1 in combination with vitamin B6 and/or vitamin B12
A11E	VITAMIN B-COMPLEX, INCL. COMBINATIONS
A11EA	Vitamin B-complex, plain
A11EB	Vitamin B-complex with vitamin C
A11EC	Vitamin B-complex with minerals
A11ED	Vitamin B-complex with anabolic steroids
A11EX	Vitamin B-complex, other combinations
A11G	ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS
A11GA	Ascorbic acid (vitamin C), plain
A11GA01	ascorbic acid (vit C)
A11GB	Ascorbic acid (vitamin C), combinations
A11GB01	ascorbic acid (vit C) and calcium
A11H	OTHER PLAIN VITAMIN PREPARATIONS
A11HA	Other plain vitamin preparations
A11HA01	nicotinamide
A11HA02	pyridoxine (vit B6)
A11HA03	tocopherol (vit E)
A11HA04	riboflavin (vit B2)
A11HA05	biotin
A11HA06	pyridoxal phosphate
A11HA07	inositol
A11HA08	tocofersolan
A11HA30	dexpanthenol
A11HA31	calcium pantothenate
A11HA32	pantethine
A11J	OTHER VITAMIN PRODUCTS, COMBINATIONS
A11JA	Combinations of vitamins
A11JB	Vitamins with minerals
A11JC	Vitamins, other combinations
A12	MINERAL SUPPLEMENTS
A12A	CALCIUM
A12AA	Calcium
A12AA01	calcium phosphate
A12AA02	calcium glubionate
A12AA03	calcium gluconate
A12AA04	calcium carbonate
A12AA05	calcium lactate
A12AA06	calcium lactate gluconate
A12AA07	calcium chloride
A12AA08	calcium glycerylphosphate
A12AA09	calcium citrate lysine complex
A12AA10	calcium glucoheptonate
A12AA11	calcium pangamate
A12AA12	calcium acetate anhydrous
A12AA13	calcium citrate
A12AA20	calcium (different salts in combination)
A12AA30	calcium laevulate
A12AX	Calcium, combinations with vitamin D and/or other drugs
A12B	POTASSIUM
A12BA	Potassium
A12BA01	potassium chloride
A12BA02	potassium citrate
A12BA03	potassium hydrogentartrate
A12BA04	potassium hydrogencarbonate
A12BA05	potassium gluconate
A12BA30	combinations
A12BA51	potassium chloride, combinations
A12C	OTHER MINERAL SUPPLEMENTS
A12CA	Sodium
A12CA01	sodium chloride
A12CA02	sodium sulfate
A12CB	Zinc
A12CB01	zinc sulfate
A12CB02	zinc gluconate
A12CB03	zinc protein complex
A12CC	Magnesium
A12CC01	magnesium chloride
A12CC02	magnesium sulfate
A12CC03	magnesium gluconate
A12CC04	magnesium citrate
A12CC05	magnesium aspartate
A12CC06	magnesium lactate
A12CC07	magnesium levulinate
A12CC08	magnesium pidolate
A12CC09	magnesium orotate
A12CC10	magnesium oxide
A12CC30	magnesium (different salts in combination)
A12CD	Fluoride
A12CD01	sodium fluoride
A12CD02	sodium monofluorophosphate
A12CD51	fluoride, combinations
A12CE	Selenium
A12CE01	sodium selenate
A12CE02	sodium selenite
A12CX	Other mineral products
A13	TONICS
A13A	TONICS
A14	ANABOLIC AGENTS FOR SYSTEMIC USE
A14A	ANABOLIC STEROIDS
A14AA	Androstan derivatives
A14AA01	androstanolone
A14AA02	stanozolol
A14AA03	metandienone
A14AA04	metenolone
A14AA05	oxymetholone
A14AA06	quinbolone
A14AA07	prasterone
A14AA08	oxandrolone
A14AA09	norethandrolone
A14AB	Estren derivatives
A14AB01	nandrolone
A14AB02	ethylestrenol
A14AB03	oxabolone cipionate
A14B	OTHER ANABOLIC AGENTS
A15	APPETITE STIMULANTS
A16	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16A	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16AA	Amino acids and derivatives
A16AA01	levocarnitine
A16AA02	ademetionine
A16AA03	glutamine
A16AA04	mercaptamine
A16AA05	carglumic acid
A16AA06	betaine
A16AB	Enzymes
A16AB01	alglucerase
A16AB02	imiglucerase
A16AB03	agalsidase alfa
A16AB04	agalsidase beta
A16AB05	laronidase
A16AB06	sacrosidase
A16AB07	alglucosidase alfa
A16AB08	galsulfase
A16AB09	idursulfase
A16AB10	velaglucerase alfa
A16AB11	taliglucerase alfa
A16AX	Various alimentary tract and metabolism products
A16AX01	thioctic acid
A16AX02	anethole trithione
A16AX03	sodium phenylbutyrate
A16AX04	nitisinone
A16AX05	zinc acetate
A16AX06	miglustat
A16AX07	sapropterin
A16AX08	teduglutide
A16AX09	glycerol phenylbutyrate
A16AX10	eliglustat
B	BLOOD AND BLOOD FORMING ORGANS
B01	ANTITHROMBOTIC AGENTS
B01A	ANTITHROMBOTIC AGENTS
B01AA	Vitamin K antagonists
B01AA01	dicoumarol
B01AA02	phenindione
B01AA03	warfarin
B01AA04	phenprocoumon
B01AA07	acenocoumarol
B01AA08	ethyl biscoumacetate
B01AA09	clorindione
B01AA10	diphenadione
B01AA11	tioclomarol
B01AA12	fluindione
B01AB	Heparin group
B01AB01	heparin
B01AB02	antithrombin III
B01AB04	dalteparin
B01AB05	enoxaparin
B01AB06	nadroparin
B01AB07	parnaparin
B01AB08	reviparin
B01AB09	danaparoid
B01AB10	tinzaparin
B01AB11	sulodexide
B01AB12	bemiparin
B01AB51	heparin, combinations
B01AC	Platelet aggregation inhibitors excl. heparin
B01AC01	ditazole
B01AC02	cloricromen
B01AC03	picotamide
B01AC04	clopidogrel
B01AC05	ticlopidine
B01AC06	acetylsalicylic acid
B01AC07	dipyridamole
B01AC08	carbasalate calcium
B01AC09	epoprostenol
B01AC10	indobufen
B01AC11	iloprost
B01AC13	abciximab
B01AC15	aloxiprin
B01AC16	eptifibatide
B01AC17	tirofiban
B01AC18	triflusal
B01AC19	beraprost
B01AC21	treprostinil
B01AC22	prasugrel
B01AC23	cilostazol
B01AC24	ticagrelor
B01AC30	combinations
B01AC56	acetylsalicylic acid and esomeprazole
B01AD	Enzymes
B01AD01	streptokinase
B01AD02	alteplase
B01AD03	anistreplase
B01AD04	urokinase
B01AD05	fibrinolysin
B01AD06	brinase
B01AD07	reteplase
B01AD08	saruplase
B01AD09	ancrod
B01AD10	drotrecogin alfa (activated)
B01AD11	tenecteplase
B01AD12	protein C
B01AE	Direct thrombin inhibitors
B01AE01	desirudin
B01AE02	lepirudin
B01AE03	argatroban
B01AE04	melagatran
B01AE05	ximelagatran
B01AE06	bivalirudin
B01AE07	dabigatran etexilate
B01AF	Direct factor Xa inhibitors
B01AF01	rivaroxaban
B01AF02	apixaban
B01AX	Other antithrombotic agents
B01AX01	defibrotide
B01AX04	dermatan sulfate
B01AX05	fondaparinux
B02	ANTIHEMORRHAGICS
B02A	ANTIFIBRINOLYTICS
B02AA	Amino acids
B02AA01	aminocaproic acid
B02AA02	tranexamic acid
B02AA03	aminomethylbenzoic acid
B02AB	Proteinase inhibitors
B02AB01	aprotinin
B02AB02	alfa1 antitrypsin
B02AB04	camostat
B02B	VITAMIN K AND OTHER HEMOSTATICS
B02BA	Vitamin K
B02BA01	phytomenadione
B02BA02	menadione
B02BB	Fibrinogen
B02BB01	fibrinogen, human
B02BC	Local hemostatics
B02BC01	absorbable gelatin sponge
B02BC02	oxidized cellulose
B02BC03	tetragalacturonic acid hydroxymethylester
B02BC05	adrenalone
B02BC06	thrombin
B02BC07	collagen
B02BC08	calcium alginate
B02BC09	epinephrine
B02BC30	combinations
B02BD	Blood coagulation factors
B02BD01	coagulation factor IX, II, VII and X in combination
B02BD02	coagulation factor VIII
B02BD03	factor VIII inhibitor bypassing activity
B02BD04	coagulation factor IX
B02BD05	coagulation factor VII
B02BD06	von Willebrand factor and coagulation factor VIII in combination
B02BD07	coagulation factor XIII
B02BD08	eptacog alfa (activated)
B02BD09	nonacog alfa
B02BD10	von Willebrand factor
B02BD11	catridecacog
B02BD12	trenonacog alfa
B02BD30	thrombin
B02BX	Other systemic hemostatics
B02BX01	etamsylate
B02BX02	carbazochrome
B02BX03	batroxobin
B02BX04	romiplostim
B02BX05	eltrombopag
B03	ANTIANEMIC PREPARATIONS
B03A	IRON PREPARATIONS
B03AA	Iron bivalent, oral preparations
B03AA01	ferrous glycine sulfate
B03AA02	ferrous fumarate
B03AA03	ferrous gluconate
B03AA04	ferrous carbonate
B03AA05	ferrous chloride
B03AA06	ferrous succinate
B03AA07	ferrous sulfate
B03AA08	ferrous tartrate
B03AA09	ferrous aspartate
B03AA10	ferrous ascorbate
B03AA11	ferrous iodine
B03AB	Iron trivalent, oral preparations
B03AB01	ferric sodium citrate
B03AB02	saccharated iron oxide
B03AB03	sodium feredetate
B03AB04	ferric hydroxide
B03AB05	ferric oxide polymaltose complexes
B03AB06	ferric citrate
B03AB07	chondroitin sulfate-iron complex
B03AB08	ferric acetyl transferrin
B03AB09	ferric proteinsuccinylate
B03AC	Iron, parenteral preparations
B03AD	Iron in combination with folic acid
B03AD01	ferrous amino acid complex
B03AD02	ferrous fumarate
B03AD03	ferrous sulfate
B03AD04	ferric oxide polymaltose complexes
B03AE	Iron in other combinations
B03AE01	iron, vitamin B12 and folic acid
B03AE02	iron, multivitamins and folic acid
B03AE03	iron and multivitamins
B03AE04	iron, multivitamins and minerals
B03AE10	various combinations
B03B	VITAMIN B12 AND FOLIC ACID
B03BA	Vitamin B12 (cyanocobalamin and analogues)
B03BA01	cyanocobalamin
B03BA02	cyanocobalamin tannin complex
B03BA03	hydroxocobalamin
B03BA04	cobamamide
B03BA05	mecobalamin
